Years Ended December 31(Millions),2021,2020,2019
RevenuesNon-interest revenuesOther,,,
RevenuesNon-interest revenuesOther,$ 343,$ 480,$ 598
Total non-interest revenues,343,480,598
Interest incomeInterest expense,96,228,692
Interest incomeInterest expense,482,630,902
Total revenues net of interest expense,（43),78,388
ExpensesSalaries and employee benefitsOther,,,
ExpensesSalaries and employee benefitsOther,359,333,366
ExpensesSalaries and employee benefitsOther,346,562,816
Total expenses,705,895,1.182
Pretax lossIncome tax benefit,(748),(817),(794)
Pretax lossIncome tax benefit,(248),(236),(282)
Net loss before equity in net income of subsidiaries and afiliatesEquityin net income of subsidiaries and afiliates,(500),(581),(512)
Net loss before equity in net income of subsidiaries and afiliatesEquityin net income of subsidiaries and afiliates,"8,560",3.716,"7,271"
Net income,"$ 8,060",$ 3.135,$ 6.759
