"Years Ended December 31,2021",2021,2020
Card Member loans,Net write-offs — principal less recoveries,$
Card Member loans,Net write-offs — interest and fees less recoveries,$
Card Member loans,Average Card Member loans (billions)(a),$
Card Member loans,Principal only net write-offs / average Card Member loans outstanding (b),
Card Member loans,"Principal, interest and fees net write-offs / average Card Member loans outstanding (b)",
Other loans,Net write-offs,$
Other loans,Average Other loans (billions)(a),$
Other loans,Net write-offs/average other loans outstanding (b),
Card Member receivables,Net write-offs — principal and fees less recoveries,$
Card Member receivables,Average Card Member receivables (billions)(a),$
Card Member receivables,Net write-offs / average Card Member receivables outstanding (b),
Reserve for credit losses,,"$ 3,421"
Non-accrual loans (c),,96
Reserve for credit losses to total loans and Card Member receivables (d),,2.4 %
Non-accrual loans to total loans (e),,0.1 %
Reserve for credit losses to non-accrual loans (f),,"3,476.3 %"
