Years Ended December 31,2021,2020
Card Member loans,Net write-offs — principal less recoveries,"$,672,$,1795"
Card Member loans,Net write-offs — interest and fees less recoveries,"$,207,$,375"
Card Member loans,Average Card Member loans (billions)(a),"$,76.1,$,74.6"
Card Member loans,Principal only net write-offs / average Card Member loans outstanding (b),"0.9 %,2.4 %"
Card Member loans,Principal,"interest and fees net write-offs / average Card Member loans outstanding (b),1.2 %,2.9 %"
Other loans,Net write-offs,"$,21,$,111"
Other loans,Average Other loans (billions)(a),"$,2.5,$,4.2"
Other loans,Net write-offs/average other loans outstanding (b),"0.9 %,2.6 %"
Card Member receivables,Net write-offs — principal and fees less recoveries,"$,129,$,881"
Card Member receivables,Average Card Member receivables (billions)(a),"$,46.8,$,43.9"
Card Member receivables,Net write-offs / average Card Member receivables outstanding (b),"0.3 %,2.0 %"
Reserve for credit losses,$,"3421,$,5849"
Non-accrual loans (c),$,"96,$,176"
Reserve for credit losses to total loans and Card Member receivables (d),2.4 %,4.9 %
Non-accrual loans to total loans (e),0.1 %,0.2 %
Reserve for credit losses to non-accrual loans (f),3476.3 %,3171.4 %
