"As of or for the Years Ended December 31,","As of or for the Years Ended December 31,","As of or for the Years Ended December 31,",,,,Change 2021vs.2020,Change 2020 vs.2019
"(Millions,except percentages and where indicated)",,2021,,2020,2019,Change 2021vs.2020,Change 2020 vs.2019
Billed business: (billions),,,,,,,
U.S.,$ 444.2,$,337.6,$,398.8,32%,(15)%
Outside the U.S.,148.9,,121.1,,154.0,23,(21)
Total,$ 593.1,$,458.7,$,552.8,29,(17)
Proprietary cards-in-force:,,,,,,,
U.S.,39.0,,37.7,,37.9,3,(1)
Outside the U.S.,17.0,,16.7,,17.5,2,(5)
Total,56.0,,54.4,,55.4,3,(2)
Proprietary basic cards-in-force:,,,,,,,
U.S.,27.3,,26.6,,26.9,3,(1)
Outside the U.S.,11.9,,11.6,,12.1,3,(4)
Total,39.2,,38.2,,39.0,3,(2)
Average proprietary basic Card Member spending: (dollars),,,,,,,
U.S.,$,"16,498 $","12,641",$,14.801,31,(15)
Outside the U.S.,$,"12,759 $","10,175",$,"12,884",25,(21)
Average,$,"15,368 $","11,881",$,"14,212",29,(16)
Total segment assets (billions),$,102.1 $,87.4,$,107.0,17,(18)
Card Member loans:,,,,,,,
Total loans (billions),,,,,,,
U.S. Outside the U.S.,$,59.8 $,51.4,$,62.4,16,(18)
Total,,10.7,,8.7,10.9,23,(20)
,$,70.5 $,60.1,$,73.3,17,(18)
Average loans (billions) U.S.,,,,,,,
Outside the U.S.,$ 52.0,$,53.0,$,59.4,(2),(11)
Total,9.0,,8.6,,10.0,5,(14)
,$ 61.0,$,61.6,$,69.4,(1)%,(11)%
U.S.,,,,,,,
Net write-off rate 一 principal only (a),0.8%,,2.4%,,2.3%,,
"Net write-off rate- principal,interest and fees (a)",,1.1 %,2.9%,,2.8%,,
30+ days past due as a % of total,,0.7%,1.0%,,1.6 %,,
Outside the U.S.,,,,,,,
Net write-off rate-principal only (a),,1.7 %,,3.0%,2.4%,,
"Net write-off rate一 principal, interest and fees (a)",,2.2%,3.7%,,2.9%,,
30+ days past due as a % of total,,0.8%,1.7 %,,1.8%,,
Total,,,,,,,
Net write-off rate一 principal only (a),,0.9%,,2.5%,2.3%,,
"Net write-off rate一 principal,interest and fees (a)",,1.3 %,,3.0%,2.8%,,
30+ days past due as a % of total,,0.7%,1.1 %,,1.6 %,,
