"(Millions, except percentages and where indicated)",,,,Change 2021 vs. 2020,Change 2020 vs. 2019
Card Member receivables: (billions),U.S.,$ 14.7,$ 11.9,$ 14.2,24 %
Card Member receivables: (billions),Outside the U.S.,7.7,6.8,8.6,13 %
Card Member receivables: (billions),Total,$ 22.4,$ 18.7,$ 22.8,20 %
U.S.,Net write-off rate — principal only (a),,1.3 %,1.4 %,
U.S.,Net write-off rate — principal and fees (a),0.1 %,1.4 %,1.6 %,
U.S.,30+ days past due as a % of total,0.4 %,0.4 %,1.2 %,
Outside the U.S.,Net write-off rate — principal only (a),0.8 %,2.5 %,2.2 %,
Outside the U.S.,Net write-off rate — principal and fees (a),0.9 %,2.7 %,2.4 %,
Outside the U.S.,30+ days past due as a % of total,0.7 %,1.0 %,1.3 %,
Total,Net write-off rate — principal only (a),0.3 %,1.7 %,1.7 %,
Total,Net write-off rate — principal and fees (a),0.4 %,1.9 %,1.9 %,
Total,30+ days past due as a % of total,0.5 %,0.6 %,1.2 %,
