Amount,Percent of Total,Percent of Loans and Leases Outstanding,(1)
459,2.44 %,0.21 %,
399,2.12,1.16,
8420,44.79,10.70,
752,4.00,0.82,
41,0.22,n/m,
10071,53.57,2.35,
5043,26.82,1.55,
1241,6.60,1.37,
2285,12.15,3.79,
162,0.86,0.95,
8731,46.43,1.77,
18802,100.00 %,2.04,
1878,,,
20680,,,
212,1.72,0.09 %,
228,1.84,0.57,
6809,55.10,6.98,
566,4.58,0.62,
55,0.45,n/m,
7870,63.69,1.69,
2723,22.03,0.84,
668,5.41,0.64,
1036,8.38,1.65,
61,0.49,0.31,
4488,36.31,0.88,
4848,51.77,1.96,
12358,100.00 %,1.27,
1123,,,
13481,,,
325,3.45 %,0.14 %,
221,2.35,0.55,
3710,39.39,3.80,
234,2.49,0.26,
52,0.55,n/m,
4542,48.23,0.98,
3015,32.02,0.94,
658,6.99,0.63,
1042,11.07,1.66,
159,1.69,0.80,
4874,51.77,0.96,
9416,100.00 %,0.97,
