Year End,2020,2019
Foreign exchange,$8,"$4,$2,$13,$2"
Interest rate,30,"19,39,7,24,49,14"
Credit,79,"58,91,25,26,32,16"
Equity,20,"24,162,12,29,33,14"
Commodities,4,"6,12,3,4,6,31"
Portfolio diversification,(72),"(61),—,—,(47),(49),—"
Total covered positions portfolio,69,"53,171,27,41,32,47"
Impact from less liquid exposures,52,"27,—,—,—,3,—"
Total covered positions and less liquid trading positions portfolio,121,"80,169,30,41,35,53"
Fair value option loans,52,"52,84,7,8,10,13"
Fair value option hedges,11,"13,17,9,10,10,17"
Fair value option portfolio diversification,(17),"(24),—,—,(9),(10),—"
Total fair value option portfolio,46,"41,86,9,9,10,16"
Portfolio diversification,(4),"(15),—,—,(5),(7),—"
Total market-based portfolio,$163,"$106,171,32,$45,$38,56"
