(Dollars in millions),December31,December31,December31,December31,2016
(Dollars in millions),2020,2019,2018,2017,2016
Consumer,"2,005 $","1,470","1,893",,
Residential mortgage,,,,"2,476","3,056"
Home equity,649,536,"1,893","2,644","2,918"
Direct/Indirect consumer,71,47,56,46,28
Other consumer,一,,,,2
Total consumer (2),"2,725","2,053","3,842","5,166","6,004"
Commercial,,,,,
U.S.commercial,"1,243","1,094",794,814,"1,256"
Non-U.S.commercial,418,43,80,299,279
Commercial real estate,404,280,156,112,72
Commercial lease financing,87,32,18,24,36
,"2,152","1,449","1,048","1,249","1,643"
U.S.small business commercial,75,50,54,55,60
Total commercial (3),"2,227","1,499","1,102","1,304","1,703"
Total nonperforming loans and leases,"4,952","3,552","4,944","6,470","7,707"
"Foreclosed properties Total nonperforming loans, leasesand foreclosed properties","164 5,116","285 3,837","300 5,244","288 6,758","377 8,084"
