Direct/Indirect,Term Loans by Origination Year,Term Loans by Origination Year,Term Loans by Origination Year,Term Loans by Origination Year,Term Loans by Origination Year,Term Loans by Origination Year,Term Loans by Origination Year,Term Loans by Origination Year,Term Loans by Origination Year,Credit Card,Credit Card,Revolving Loans Converted to Term Loans
"Total Direct/Indirect as of December 31,2020",Revolving Loans,2020,,2019,2018,2017,2016,Prior,,"Total Credit Card as of December 31,2020",Revolving Loans,
Refreshed FICO score,,,,,,,,,$959,,,Less than 620
,Less than 620,$959,"$19,$111",$200,$175,$243,$148,,,"$63,4018","$3,832",186
Refreshed FICO score,,,,,,,,,"2,143",,,Greater than or equal to 620 and less than 680
,Greater than or equal to 620 and less than 680,"2,143",,559,329,301,176,105,,"9,419","9,201",218
Refreshed FICO score,,,,,,,,,"7,431",,,Greater than or equal to 680 and less than 740
,Greater than or equal to 680 and less than 740,"7,431","80,2848","2,015",,"1,033",739,400,316,"27,585","27,392",193
Refreshed FICO score,,,,,,,,,"36,064",,,Greater than or equal to 740
,Greater than or equal to 740,"36,064","120,12540","10,588",,"5,869","3,495","1,781","1,671","37,686","37,642",44
"Other internal credit metrics (1,2)","44,766","44,098",,115,84,67,52,276,,,,
Total credit card and other consumer,,"$44,337","$16,226","74 $13,477",,"7,490 $","4,845","2,557","2,431","78,708","$78,067",641
