,Unpaid Principal Balance,Unpaid Principal Balance,"Carrying Pre-Modification Value Interest Rate December 31, 2020","Carrying Pre-Modification Value Interest Rate December 31, 2020",Post- Modification Interest Rate (2)
(Dollars in millions) Residential mortgage,732$ 87,732$ 87,732$ 87,732$ 87,3.59 %
,,646 69,646 69,646 69,646 69
Home equity Total,$,819 $ 715,819 $ 715,819 $ 715,819 $ 715
,"December 31, 2019","December 31, 2019","December 31, 2019","December 31, 2019","December 31, 2019"
Residential mortgage Home equity,,464 141,377 101,4.19 % 5.04,4.13 % 4.31
Total,,605$,478,4.39,4.17
,,"December 31,2018","December 31,2018","December 31,2018",
Residential mortgage,$,774$,641,4.33 %,4.21 %
Home equity Total,$,"489 1,263 $",358 999,4.46 4.38,3.74 4.03
