,Consumer Real Estate,Credit Card and Other Consumer,Commercial,Total
,,2020,Commercial,Total
"(Dollrs in milins) Allowancefor loanand lease losses,January1",$ 440$,"7,430$","4,488$",12.358
Loans and leases charged off,（98）,"(3,646)","(1,675)","(5,419)"
,201,891,206,"1,298"
Recoveries of loans and leases previously charged off,,,"(1,469)",
Net charge-offs Provision for loan and lease losses,103,"(2,755)","5,720","(4,121)"
Other(1),30,"4,538 二",(8),"10,565"
"Allowance for loanand lease losses,December31",858,"9,213","8,731","一 18,802"
"Reserve for unfunded lending commitments, January1",119,,"1,004",
Provision for unfunded lending commitments,18,,737,"1,123"
"Reserve for unfunded lending commitments, December 31",137,,"1,741",755
"Allowance forcreditlosses,December31",995$,"9,213$","10,472$","1,878 20,680"
,,2019,,
"Allowance for loan and lease losses,January 1",$ 928$,3.874$,"4,799$","9,601"
Loans and leases charged off,(522）,"(4,302)",(822),"(5,646)"
Recoveries of loans and leases previously charged off,927,911,160,"1,998"
Net charge-offs,405,"(3,391)",(662),"(3,648)"
Provision for loan and lease losses,（680）,3.512,742,"3,574"
Other (1),(107),1,(5),(111)
"Allowance for loan and lease losses, December 31",546,"3,996","4,874","9,416"
"Reserve for unfunded lending commitments,January1",一,,,
Provision for unfunded lending commitments,,,7,
"Reserve for unfunded lending commitments, December 31",,,813,7 813
"Allowance forcredit losses,December 31",$ 546$,"3,996$","5,687 $","10,229"
,,2018,,
"Allowance for loan and lease losses,January 1","1,720$ $","3,663$","5,010$","10,393"
Loans and leases charged off Recoveries of loans and leases previously charged off,(690),"（4,037)",(675),"(5,402)"
Net charge-offs,664,823,152,"1,639"
Provision for loan and lease losses,(26),"(3,214)",(523),"(3,763)"
Other (1),(492),"3,441",313,"3,262"
"Allowance for loanand lease losses,December31",(274),(16),(1),(291)
,928,"3,874","4,799","9,601"
"Reserve for unfunded lending commitments,January1",1,,777,777
Provision for unfunded lending commitments,1,,20,20
"Reserve for unfunded lending commitments, December 31",,,797,797
"Allowance for credit losses,December 31",$ 928$,"3,874","$ 5,596 $","10,398"
