Amount,,Rate,2019,Rate
Dollars in millions,,,,
Federal funds sold and securities borrowed or purchased under agreements to resell,"309,945",0.29 %,"279,610",1.73 %
"Average during year,$,",,,"$,",
Maximum month-end balance during year,"451,179",n/a,"281,684",n/a
Federal funds purchased and securities loaned or sold under agreements to repurchase,"192,479",0.69 %,"201,797",2.31 %
"Average during year,$,",,,"$,",
Maximum month-end balance during year,"206,493",n/a,"203,063",n/a
Short-term borrowings,"22,486",0.54 %,"24,301",2.42 %
"Average during year,$,",,,"$,",
Maximum month-end balance during year,"30,118",n/a,"36,538",n/a
