(Dollars in millions),Amount Rate,Amount Rate,Amount,Amount
(Dollars in millions),2020,2020,2019,2019
Federal funds sold and securities borrowed or purchased under agreements to resell,"309,945",,,
Average during year,$,,"0.29%$ 279,610",1.73%
Maximum month-end balance during year,"451,179",n/a,"281,684",n/a
Federal funds purchased and securities loaned or sold under agreements to repurchase,,,,
Average during year,"192,479",0.69%$,"201,797",2.31%
Maximum month-end balance during year,"206,493",n/a,"203,063",n/a
Short-term borrowings,,,,
,,,,2.42
Average during year,"22,486",0.54,"24,301",
Maximum month-end balance during year,"30,118",n/a,"36,538",n/a
