,Overnight and Continuous,Overnight and Continuous,30 Days or Less,After 30 Days Through 90 Days,After 30 Days Through 90 Days,Greater than 90 Days (,Total
,,,30 Days or Less,,"December 31,2020",Greater than 90 Days (,Total
(Dollars in millions) Securities sold under agreements to repurchase,"158,400",,"122,448",$,"32,149",,"335,681"
Securities loaned,$,,,"1,029",,"22,684$","22,971"
,,"19,140",271,,一,"2,531",
Other Total,$,"16,210 193,750","一 122,719$",,,"一 25,215$","16,210 374,862"
,,$,,,"33,178$",,
,,,,"December 31,2019",,,
Securities sold under agreements to repurchase,$,"129,455 $","122,685",$,"25,322 $","21,922 $","299,384"
Securities loaned,,"18,766","3,329","1,241",,"2,049","25,385"
Other,,"15,346",,,,,"15,346"
Total,$,"163,567$","126,014$",,"26,563$","23,971$","340,115"
