(Dollars in millions),2020,2019
"Fair value, January 1","$20,275","$18,178"
Actual return on plan assets,"2,468","3,187"
Company contributions,—,—
Plan participant contributions,—,—
Settlements and curtailments,—,(61)
Benefits paid,(967),"(1,090)"
Federal subsidy on benefits paid,n/a,n/a
Foreign currency exchange rate changes,n/a,n/a
"Fair value, December 31","$21,776","$20,275"
Change in projected benefit obligation,,
"Projected benefit obligation, January 1","$15,361","$14,144"
Service cost,—,20
Interest cost,500,593
Plan participant contributions,—,1
Plan amendments,—,3
Settlements and curtailments,—,(61)
Actuarial loss,"1,533","1,714"
Benefits paid,(967),"(1,090)"
Federal subsidy on benefits paid,n/a,n/a
Foreign currency exchange rate changes,n/a,102
"Projected benefit obligation, December 31","$16,427","$15,361"
Amounts recognized on Consolidated Balance Sheet,,
Other assets,"$5,349","$4,914"
Accrued expenses and other liabilities,—,(690)
"Net amount recognized, December 31","$5,349","$4,914"
"Funded status, December 31",,
Accumulated benefit obligation,"$16,427","$15,361"
Overfunded (unfunded) status of ABO,"5,349","4,914"
Provision for future salaries,—,—
Projected benefit obligation,"16,427","15,361"
"Weighted-average assumptions, December 31",,
Discount rate,2.57 %,3.32 %
Rate of compensation increase,n/a,4.11
Interest-crediting rate,5.02 %,5.06 %
