,Actual Return on Plan Assets Still Held at the,Actual Return on Plan Assets Still Held at the,Actual Return on Plan Assets Still Held at the,"Purchases, Sales",Balance
,January 1,Reporting Date,and Settlements,,December 31
(Dollars in millions),,,2020,,
Fixed income,,,$,,
U.S.government and agency securities,8,$,一,(1)$,7
Real estate,,,,,
Real estate commingled/mutual funds,,927,(4),20,943
Limited partnerships,,90,2,（9),83
Other investments,,636,6,49,691
Total,,"1,661 $",4$,59$,"1,724"
,,,2019,,
Fixed income U.S.government and agency securities,,$,,(1)$,8
Real estate,,9,,,
Private real estate,,5,,(5),1
Real estate commingled/mutual funds,,885,33,9,927
,,,一,8,90
Limited partnerships Other investments,,82 588,6,42,636
Total,,"1,569$",39$,53$,"1,661"
Fixed income,,,2018,,
U.S.government and agency securities,,9$,丨 $,1,9
Real estate,,,,,
Private real estate,,93,(7),(81),5
Real estate commingled/mutual funds,,831,52,2,885
Limited partnerships,,85,(12),9,82
Other investments,,74,,514,588
Total,,"1,092 $",33$,444$,"1,569"
