Condensed Statement of Income,,,
,2020,2019,2018
Income,,,
Dividends from subsidiaries:,,,
Bank holding companies and related subsidiaries,"10,352","27,820$","28,575"
Nonbank companies and related subsidiaries,1,,91
Interest from subsidiaries,"8,825","9,502","8,425"
Other income (loss),(138),74,"(1,025)"
Total income,"19,039","37,396","36,066"
Expense,,,
Interest on borrowed funds from related subsidiaries,136,451,235
Other interest expense,"4,119","5,899","6,425"
Noninterest expense,"1,651","1,641","1,600"
Total expense,"5,906","7,991","8,260"
Income before income taxesand equityin undistributed earnings of subsidiaries,"13,133","29,405","27,806"
Income tax expense (benefit),649,341,(281)
Income before equity in undistributed earnings of subsidiaries,"12,484","29,064","28,087"
Equity in undistributed earnings (losses)of subsidiaries:,,,
Bank holding companies and related subsidiaries,"5,372","(1,717)",306
Nonbank companies and related subsidiaries,38,83,(246)
Total equity in undistributed earnings of subsidiaries Net income,"5,410 17,894","(1,634) 27,430","60 28,147"
