,Deposits,Deposits,Consumer Lending,Consumer Lending,Total Consumer Banking,Total Consumer Banking,,
(Dollars in millions),2020 $,2019,2020,2019,2020,2019,% Change,
Net interest income,"13,739","$ 16,904","$ 10,959","$ 11,254","$ 24,698","$ 28,158",(12)%,
Noninterest income:,(20),,,"5,117",,"5,084",,
Card income,,(33),"4,693",2,"4,673","4,218",(8）,
Service charges,"3,416","4,216",1,,"3,417","1,127",(19),
All other income Total noninterest income,"310 3,706","833 5,016",164,"294 5,413","474 8,564","10,429",(58) (18),
"Total revenue,netof interest expense","17,445","21,920","4,858 15,817","16,667","33,262","38,587",(14),
Provision for credit losses,379,269,"5,386","3,503","5,765","3,772",53,
Noninterest expense,"11,508","10,718","7,370","6,928","18,878","17,646",7,
Income before income taxes,"5,558","10,933","3,061","6,236","8,619","17,169",(50),
Income tax expense,"1,362","2,679",750,"1,528","2,112","4,207",(50),
Net income $,"4,196 $","8,254",$,"2,311 $","4,708 $","6,507 $","12,962",(50)
Effective tax rate (1),,,,,,24.5 %,24.5%,
Net interest yield,1.69 %,,2.40%,3.53%,3.80%,2.88,3.81,
Return on average allocated capital,35,,69,9,19,17,35,
Efficiency ratio,65.97,,48.90,46.60,41.56,56.76,45.73,
Balance Sheet,,,,,,,,
Average Total loans and leases,,$,"5,371 $",,$,"$ 315,580","300,933",5%
Total earming assets (2),"5,144",,"703,481","310,436 310,862","295,562 296,051","858,724","738,807",
Total assets (2),"813,779 849,924",,"735,298","314,599","306,169","898,606","780,742",16 15
Total deposits,"816,968",,"702,972","6,698","5,368","823,666","708,340",16
Allocated capital,"12,000",,"12,000","26,500","25,000","38,500","37,000",4
Year end,,,,,,,,
Total loans and leases,"4,673",$,"5,467","295,261","$ 311,942","$ 299,934","$ 317,409",(6)%
Total earming assets (2),"899,951",,"$ 724,573","295,627","312,684","945,343","760,174",24
Total assets (2),"939,629",,"758,459","299,186","322,717","988,580","804,093",23
Total deposits,"906,092",,"725,665","6,560","5,080","912,652","730,745",25
