"December 31,2021 2020Railroad:Land, track structure and other roadway $ 65,843 $ 63,824","December 31,2021 2020Railroad:Land, track structure and other roadway $ 65,843 $ 63,824","December 31,2021 2020Railroad:Land, track structure and other roadway $ 65,843 $ 63,824",,
"December 31,2021 2020Railroad:Land, track structure and other roadway $ 65,843 $ 63,824","December 31,2021 2020Railroad:Land, track structure and other roadway $ 65,843 $ 63,824","December 31,2021 2020Railroad:Land, track structure and other roadway $ 65,843 $ 63,824",,
"December 31,2021 2020Railroad:Land, track structure and other roadway $ 65,843 $ 63,824","December 31,2021 2020Railroad:Land, track structure and other roadway $ 65,843 $ 63,824","December 31,2021 2020Railroad:Land, track structure and other roadway $ 65,843 $ 63,824","$ 65,843","$ 63,824"
"Locomotives, freight cars and other equipment",13.822,"13,523",,
Construction in progress,"1,027",916,,
,80.692,"78,263",,
Accumulated depreciation,"(14,978)","(13,175)",,
,"65,714","65,088",,
Utilities and energy:,,,,
"Utility generation, transmission and distribution systems Interstate natural gas pipeline assets","90,223","86,730",,
"Utility generation, transmission and distribution systems Interstate natural gas pipeline assets","17,423","16,667",,
Independent power plants and other assets,"13,695",12.671,,
Construction in progress,"4,196","3,308",,
Accumulated depreciation,"125,537","119,376",,
Accumulated depreciation,"(35,721)","(33,248)",,
,"89,816","86,128",,
,"$ 155,530","$ 151,216",,
