Consolidated,Statement of Financial Position Location,Asset (Liability) Fair Value,2021,2020
Foreign exchange contracts,Machinery, Energy & Transportation,Receivables — trade and other,"$58,$74"
Foreign exchange contracts,Machinery, Energy & Transportation,Long-term receivables — trade and other,"28,71"
Foreign exchange contracts,Machinery, Energy & Transportation,Accrued expenses,"(26),(36)"
Foreign exchange contracts,Machinery, Energy & Transportation,Other liabilities,"(6),(1)"
Foreign exchange contracts,Financial Products,Receivables — trade and other,109,1
Foreign exchange contracts,Financial Products,Long-term receivables — trade and other,33,1
Foreign exchange contracts,Financial Products,Accrued expenses,(32),(148)
Interest rate contracts,Machinery, Energy & Transportation,Long-term receivables — trade and other,"4,4"
Interest rate contracts,Financial Products,Receivables — trade and other,7,2
Interest rate contracts,Financial Products,Long-term receivables — trade and other,31,57
Interest rate contracts,Financial Products,Accrued expenses,(15),(5)
Interest rate contracts,Financial Products,,$187,$20
Undesignated derivatives,Foreign exchange contracts,Machinery, Energy & Transportation,"Receivables — trade and other,$18,$10"
Undesignated derivatives,Foreign exchange contracts,Machinery, Energy & Transportation,"Accrued expenses,(6),(1)"
Undesignated derivatives,Foreign exchange contracts,Financial Products,Receivables — trade and other,"21,17"
Undesignated derivatives,Foreign exchange contracts,Financial Products,Long-term receivables — trade and other,"7,7"
Undesignated derivatives,Foreign exchange contracts,Financial Products,Accrued expenses,"(36),(107)"
Commodity contracts,Machinery, Energy & Transportation,Receivables — trade and other,"30,35"
Commodity contracts,Machinery, Energy & Transportation,Long-term receivables — trade and other,"2,2"
Commodity contracts,Machinery, Energy & Transportation,Accrued expenses,"(9),—"
Commodity contracts,Financial Products,,$25,$(37)
