(Millions of dollars),"December 31, 2020",Acquisitions,Other Adjustments1,"December 31, 2021"
Construction Industries,Goodwill,$ 320,$ 4,"$ (22),$ 302"
Construction Industries,Impairments,(22),,",(22)"
Construction Industries,Net goodwill,298,4,"(22),280"
Resource Industries,Goodwill,4,253,"22,(93),4,182"
Resource Industries,Impairments,"(1,175)",,",(1,175)"
Resource Industries,Net goodwill,3,078,"22,(93),3,007"
Energy & Transportation,Goodwill,2,959,"49,(23),2,985"
All Other 2,Goodwill,59,,"(7),52"
Consolidated total,Goodwill,7,591,"75,(145),7,521"
Consolidated total,Impairments,"(1,197)",,",(1,197)"
Consolidated total,Net goodwill,"$ 6,394",$ 75,"$ (145),$ 6,324"
