(Millions of dollars),U.S.Pension Benefits,U.S.Pension Benefits,U.S.Pension Benefits,Non-U.S.Pension Benefits,Non-U.S.Pension Benefits,Non-U.S.Pension Benefits,Other Postretirement Benefits,Other Postretirement Benefits,Other Postretirement Benefits
(Millions of dollars),2021,2020,2019,2021,2020,2019,2021,2020,2019
Components of net periodic benefit cost:,,,,,,,,,
Service cost 1,$ 一,$,$ 115,$ 57,$ 55,$ 80,$ 100,$ 94,$ 80
Interest cost,330,483,600,53,68,94,64,103,136
"Expected return on plan assets Curtailments,settlements and",(718),(791),(721),(128),(135),(148),(6),(12),(18)
termination benefits,,(1),(1),(1),30,（7),,,
Amortization of prior service cost (credit),,,,,,,(40),(38),(40)
Actuarial loss (gain) 2,(487),162,72,(115),32,90,(231),189,306
Net Periodic benefit cost (benefit)³ $ (875) Other changes in plan assets and,,$ (147) $,65,$ (134),$ 50,$ 109,$ (113),$ 336,$ 464
benefit obligations recognized in other comprehensive income (pre-tax):,,,,,,,,,
Current year prior service cost (credit) Amortization of prior service (cost),$ $,$,$,$,8 1 $,(4）,$,$ (7),$ 8
credit,,,,,,,40,38,40
Total recognized in other comprehensive income,,,,,8,(4),40,31,48
Total recognized in net periodic cost and other comprehensive income Weighted-average assumptions,$ (875),$(147) $,65,$ (134),$ 58,$ 105,$ （73),$ 367,$ 512
used to determine net periodic benefit cost:,,,,,,,,,
Discount rate used to measure service cost 1,1%,1%,4.3%,1.4%,1.5%,2.5%,2.5%,3.2%,4.1%
Discount rate used to measure interest cost,1.8%,2.8%,3.9%,1.2%,1.7%,2.3%,1.6%,2.8%,3.9%
Expected rate of return on plan assets 4,4.2%,5.1%,5.9%,2.9%,3.3%,,,,7.2%
Rate of compensation increase 1,1%,1%,4.0%,2.0%,2.0%,3.8% 3.0%,6.5% 4.0%,7.0% 4.0%,4.1%
