Millions of dollars,Consolidated Companies,Affiliated Companies,Total Consolidated and Affiliated Companies
"Present Value at January 1, 2019","$ 94,631","$ 24,696","$ 119,327"
Sales and transfers of oil and gas produced net of production costs,"(29,436)","(5,823)","(35,259)"
Development costs incurred,"10,497","5,120","15,617"
Purchases of reserves,406,—,406
Sales of reserves,(579),—,(579)
"Extensions, discoveries and improved recovery less related costs","5,697",43,"5,740"
Revisions of previous quantity estimates,621,"2,122","2,743"
"Net changes in prices, development and production costs","(25,056)","(11,637)","(36,693)"
Accretion of discount,"13,538","3,584","17,122"
Net change in income tax,"10,077","2,046","12,123"
Net Change for 2019,"(14,235)","(4,545)","(18,780)"
"Present Value at December 31, 2019","$ 80,396","$ 20,151","$ 100,547"
Sales and transfers of oil and gas produced net of production costs,"(16,621)","(2,322)","(18,943)"
Development costs incurred,"6,301","2,892","9,193"
Purchases of reserves,"10,295",—,"10,295"
Sales of reserves,(803),—,(803)
"Extensions, discoveries and improved recovery less related costs","2,066",—,"2,066"
Revisions of previous quantity estimates,"(1,293)","4,033","2,740"
"Net changes in prices, development and production costs","(62,788)","(22,925)","(85,713)"
Accretion of discount,"11,274","2,948","14,222"
Net change in income tax,"19,616","5,317","24,933"
Net Change for 2020,"(31,953)","(10,057)","(42,010)"
"Present Value at December 31, 2020","$ 48,443","$ 10,094","$ 58,537"
Sales and transfers of oil and gas produced net of production costs,"(34,668)","(5,760)","(40,428)"
Development costs incurred,"5,770","2,445","8,215"
Purchases of reserves,772,—,772
Sales of reserves,(889),—,(889)
"Extensions, discoveries and improved recovery less related costs","12,091",—,"12,091"
Revisions of previous quantity estimates,"2,269","(6,675)","(4,406)"
"Net changes in prices, development and production costs","89,031","30,076","119,107"
Accretion of discount,"6,657","1,503","8,160"
Net change in income tax,"(25,592)","(6,692)","(32,284)"
Net Change for 2021,"55,441","14,897","70,338"
"Present Value at December 31, 2021","$ 103,884","$ 24,991","$ 128,875"
