Operating highlights6,2021 2020,2019
"Net production of crude oil, condensate, NGLs and synthetic oil (Thousands of barrels per day)","1,814 1,868","1,865"
Net production of natural gas (Millions of cubic feet per day),"7,709 7,290","7,157"
Total net oil-equivalent production (Thousands of oil-equivalent barrels per day),"3,099 3,083","3,058"
"Net proved reserves of crude oil, condensate and NGLs7.8 (Millions of barrels)","6,113 6,147","6,521"
Net proved reserves of natural gas8 (Billions of cubic feet),"30,908 29,922","29,457"
Net proved oil-equivalent reserves8 (Millions of barrels),"11,264 11,134","11,431"
Refinery input (Thousands of barrels per day),"1,479 1,377","1,564"
Sales of refined products (Thousands of barrels per day),"2,454 2,224","2,577"
Number of employees at year-end9,"37,498 42,628","44,679"
