Year ended December 31,2021,2020,2019
Distributions more (less) than income from equity affiliates includes the following:,,,
Distributions from equity affiliates,$,"3,659","$,1,543,$,1,895"
(Income) loss from equity affiliates,"(5,657)",472,"(3,968)"
Distributions more (less) than income from equity affiliates,$,"(1,998)","$,2,015,$,(2,073)"
Net decrease (increase) in operating working capital was composed of the following:,,,
Decrease (increase) in accounts and notes receivable,$,"(7,548)","$,2,423,$,1,852"
Decrease (increase) in inventories,(530),284,7
Decrease (increase) in prepaid expenses and other current assets,19,(87),(323)
Increase (decrease) in accounts payable and accrued liabilities,"5,475","(3,576)",(109)
Increase (decrease) in income and other taxes payable,"1,223",(696),67
Net decrease (increase) in operating working capital,$,"(1,361)","$,(1,652),$,1,494"
Net cash provided by operating activities includes the following cash payments:,,,
Interest on debt (net of capitalized interest),$,699,"$,720,$,810"
Income taxes,"4,355","2,987","4,817"
Proceeds and deposits related to asset sales and returns of investment consisted of the following gross amounts:,,,
Proceeds and deposits related to asset sales,$,"1,352","$,2,891,$,2,809"
Returns of investment from equity affiliates,439,77,142
Proceeds and deposits related to asset sales and returns of investment,$,"1,791","$,2,968,$,2,951"
Net maturities (investments) of time deposits consisted of the following gross amounts:,,,
Investments in time deposits,$,—,"$,—,$,—"
Maturities of time deposits,$,—,"$,—,$,950"
Net maturities of (investments in) time deposits,$,—,"$,—,$,950"
Net sales (purchases) of marketable securities consisted of the following gross amounts:,,,
Marketable securities purchased,$,(4),"$,—,$,(1)"
Marketable securities sold,3,35,3
Net sales (purchases) of marketable securities,$,(1),"$,35,$,2"
Net repayment (borrowing) of loans by equity affiliates:,,,
Borrowing of loans by equity affiliates,$,—,"$,(3,925),$,(1,350)"
Repayment of loans by equity affiliates,401,"2,506",105
Net repayment (borrowing) of loans by equity affiliates,$,401,"$,(1,419),$,(1,245)"
Net borrowings (repayments) of short-term obligations consisted of the following gross and net amounts:,,,
Proceeds from issuances of short-term obligations,$,"4,448","$,10,846,$,2,586"
Repayments of short-term obligations,"(6,906)","(9,771)","(1,430)"
Net borrowings (repayments) of short-term obligations with three months or less maturity,"(3,114)",(424),"(3,977)"
Net borrowings (repayments) of short-term obligations,$,"(5,572)","$,651,$,(2,821)"
Net sales (purchases) of treasury shares consists of the following gross and net amounts:,,,
Shares issued for share-based compensation plans,$,"1,421","$,226,$,1,104"
Shares purchased under share repurchase and deferred compensation plans,"(1,383)","(1,757)","(4,039)"
Net sales (purchases) of treasury shares,$,38,"$,(1,531),$,(2,935)"
Net contributions from (distributions to) noncontrolling interests consisted of the following gross and net amounts:,,,
Distributions to noncontrolling interests,$,(53),"$,(26),$,(18)"
Contributions from noncontrolling interests,17,2,—
Net contributions from (distributions to) noncontrolling interests,$,(36),"$,(24),$,(18)"
