Year ended December 31^1^,2021,2020,2019
Upstream,United States,$,"29,219,$,14,577,$,23,358"
Upstream,International,$,"40,921,$,26,804,$,35,628"
Upstream,Subtotal,$,"70,140,$,41,381,$,58,986"
Upstream,Intersegment Elimination — United States,$,"(15,154),$(8,068),$(14,944)"
Upstream,Intersegment Elimination — International,$,"(10,994),$(7,002),$(12,335)"
Upstream,Total Upstream,$,"43,992,$,26,311,$,31,707"
Downstream,United States,$,"57,209,$,32,589,$,55,271"
Downstream,International,$,"58,098,$,38,936,$,57,654"
Downstream,Subtotal,$,"115,307,$,71,525,$,112,925"
Downstream,Intersegment Elimination — United States,$,"(2,296),$(2,150),$(3,924)"
Downstream,Intersegment Elimination — International,$,"(1,521),$(1,292),$(1,089)"
Downstream,Total Downstream,$,"111,490,$,68,083,$,107,912"
All Other,United States,$,"506,$,744,$,1,064"
All Other,International,$,"2,$,15,$,20"
All Other,Subtotal,$,"508,$,759,$,1,084"
All Other,Intersegment Elimination — United States,$,"(382),$(667),$(818)"
All Other,Intersegment Elimination — International,$,"(2),$(15),$(20)"
All Other,Total All Other,$,"124,$,77,$,246"
Sales and Other Operating Revenues,United States,$,"86,934,$,47,910,$,79,693"
Sales and Other Operating Revenues,International,$,"99,021,$,65,755,$,93,302"
Sales and Other Operating Revenues,Subtotal,$,"185,955,$,113,665,$,172,995"
Sales and Other Operating Revenues,Intersegment Elimination — United States,$,"(17,832),$(10,885),$(19,686)"
Sales and Other Operating Revenues,Intersegment Elimination — International,$,"(12,517),$(8,309),$(13,444)"
Sales and Other Operating Revenues,Total Sales and Other Operating Revenues,$,"155,606,$,94,471,$,139,865"
