,2020,2019
Sales,"$ 22,284","$ 17,911"
Operating Profit,"$ 4,231","$ 3,269"
Net Earnings,"$ 3,646","$ 2,432"
Net Earnings Per Common Share (diluted),$ 4.89,$ 3.26
Operating Cash Flow,"$ 6,215","$ 3,657"
Investing Cash Flow,"$ (21,239)","$ (1,166)"
Financing Cash Flow,"$ 1,006","$ 16,589"
Capital Expenditures,$ (791),$ (636)
Capital Disposals,$ 2,$ 13
Free Cash Flow (Operating Cash Flow less Capital Expenditures plus Capital Disposals),"$ 5,426","$ 3,034"
Number of Associates,"69,000","60,000"
Total Assets,"$ 76,161","$ 62,082"
Total Debt*,"$ 21,204","$ 21,729"
Stockholders' Equity,"$ 39,777","$ 30,282"
Total Capitalization (Total Debt plus Stockholders' Equity),"$ 60,981","$ 52,011"
