C II Advances outside India,,,,,,,
(i) Due from banks,,,,,,,
(ii) Due from others,,,,,,,
(a) Bills purchased and discounted,,,"63,490","63,490","63,490","63,490","63,490"
(b) Syndicated loans,,,"8,347,907","8,347,907","8,347,907","8,347,907","8,347,907"
(c) Others,,,"252,410,555","252,410,555","252,410,555","252,410,555","252,410,555"
Total,,,"316,098,491","316,098,491","316,098,491","316,098,491","316,098,491"
Total,,,"11,328,366,309","11,328,366,309","11,328,366,309","11,328,366,309","11,328,366,309"
(Advances are net of provisions),,,,,,,
SCHEDULE 10 - FIXED ASSETS,,,,,,,
A Premises (including land),,,,,,,
Gross block,,,,,,,
At cost on 31 March of the preceding year,,,"18,636,852","18,636,852","18,636,852","17,984,742",
Additions during the year,,,"1,745,137","1,745,137","1,745,137","1,745,137","737,974"
Deductions during the year,,,"(98,150)","(98,150)","(98,150)","(98,150)","(98,150)"
Total,,,"20,283,839","20,283,839","20,283,839","20,283,839","18,636,852"
Depreciation,,,"6,341,803","6,341,803","6,341,803","6,341,803","6,341,803"
As at 31 March of the preceding year,,,"6,341,803","6,341,803","6,341,803","6,341,803","5,786,797"
Charge for the year,,,"660,308(93,276)","660,308(93,276)","660,308(93,276)","660,308(93,276)","630,315"
On deductions during the year,,,"660,308(93,276)","660,308(93,276)","660,308(93,276)","660,308(93,276)","(75,309)"
Total,,,"6,908,83513,375,004111,296,870","6,908,83513,375,004111,296,870","6,908,83513,375,004111,296,870","6,908,83513,375,004111,296,870","6,908,83513,375,004111,296,870"
Net block,,,"6,908,83513,375,004111,296,870","6,908,83513,375,004111,296,870","6,908,83513,375,004111,296,870","6,908,83513,375,004111,296,870","6,908,83513,375,004111,296,870"
B Other fixed assets (including furniture and fixtures),,,,,,,
Gross block,,,,,,,
At cost on 31 March of the preceding year,,,"100,927,994","100,927,994","100,927,994","100,927,994",
Additions during the year,,,"16,176,309(2,757,617)","16,176,309(2,757,617)","16,176,309(2,757,617)","16,176,309(2,757,617)",
Deductions during the year,,,"(5,143,488)","(5,143,488)","(5,143,488)","(5,143,488)",
Total,,,"124,715,562","124,715,562","124,715,562","124,715,562","111,296,870"
Depreciation,,,"79,272,764","79,272,764","79,272,764","79,272,764",
As at 31 March of the preceding year,,,"79,272,764","79,272,764","79,272,764","79,272,764","72,825,896"
Charge for the year,,,"12,360,893(2,636,260)","12,360,893(2,636,260)","12,360,893(2,636,260)","12,360,893(2,636,260)",
On deductions during the year,,,"12,360,893(2,636,260)","12,360,893(2,636,260)","12,360,893(2,636,260)","12,360,893(2,636,260)",
Total,,,"88,997,397","88,997,397","88,997,397","88,997,397","88,997,397"
Net block,,,"35,718,165","35,718,165","35,718,165","35,718,165","35,718,165"
C Assets on lease (plant and machinery),,,,,,,
Gross block,,,"4,546,923","4,546,923","4,546,923","4,546,923","4,546,923"
At cost on 31 March of the preceding year,,,"4,546,923","4,546,923","4,546,923","4,546,923","4,546,923"
Additions during the year,,,"4,546,923","4,546,923","4,546,923","4,546,923",
Total,,,"4,546,923","4,546,923","4,546,923","4,546,923","4,546,923"
Depreciation,,,"4,104,467","4,104,467","4,104,467","4,104,467",
As at 31 March of the preceding year,,,"4,104,467","4,104,467","4,104,467","4,104,467","4,104,467"
Charge for the year,,,"4,104,467","4,104,467","4,104,467","4,104,467",
Total,,,"4,104,467","4,104,467","4,104,467","4,104,467","4,104,467"
