Sr.ParticularsNo.,Currency derivatives Interest rate derivatives,Currency derivatives Interest rate derivatives,Currency derivatives Interest rate derivatives,Currency derivatives Interest rate derivatives,Currency derivatives Interest rate derivatives,Currency derivatives Interest rate derivatives,Currency derivatives Interest rate derivatives,Currency derivatives Interest rate derivatives,Currency derivatives Interest rate derivatives,Currency derivatives Interest rate derivatives,Currency derivatives Interest rate derivatives,Currency derivatives Interest rate derivatives,Currency derivatives Interest rate derivatives,,,
,"March 31,2021","March 31,2021","March 31,2021","March 31,2021","March 31,2021","March 31,2020","March 31,2021","March 31,2021","March 31,2021","March 31,2021","March 31,2021","March 31,2021","March 31,2020",,,
1 Derivatives (notional principal amount),"=40,074.83922.74","=40,074.83922.74","=40,074.83922.74","=40,074.83922.74","=40,074.83922.74",,,"-317,629.80","-317,629.80","-317,629.80","-317,629.80","-317,629.80",,,,
a)Hedging,"=40,074.83922.74","=40,074.83922.74","=40,074.83922.74","=40,074.83922.74","=40,074.83922.74",=,,"-317,629.80","-317,629.80","-317,629.80","-317,629.80","-317,629.80",,,,
b)Trading,"=40,074.83922.74","=40,074.83922.74","=40,074.83922.74","=40,074.83922.74","=40,074.83922.74","48,556.58",,"-317,629.80","-317,629.80","-317,629.80","-317,629.80","-317,629.80","364,449.58",,,
2 Marked to market positions,"=40,074.83922.74","=40,074.83922.74","=40,074.83922.74","=40,074.83922.74","=40,074.83922.74",,,,,,,,,,,
a) Asset (+),"=40,074.83922.74","=40,074.83922.74","=40,074.83922.74","=40,074.83922.74","=40,074.83922.74","1,469.15","3,253.93","3,253.93","3,253.93","3,253.93","3,253.93","3,253.93","4,994.01",,,
b) Liability (-),(594.51),(594.51),(594.51),(594.51),(594.51),"(1,090.17)","(3,395.30)","(3,395.30)","(3,395.30)","(3,395.30)","(3,395.30)","(3,395.30)","(5,197.06)",,,
3 Credit exposure,"3,077.28","3,077.28","3,077.28","3,077.28","3,077.28","3,562.03","5,423.27","5,423.27","5,423.27","5,423.27","5,423.27","5,423.27","6,734.23",,,
Likely impact of one percentage change in interest rate4(100*PV01)**,32.08,32.08,32.08,32.08,32.08,,-187.97,-187.97,-187.97,-187.97,-187.97,-187.97,,,,
a) On hedging derivatives,32.08,32.08,32.08,32.08,32.08,,,,-187.97,-187.97,-187.97,-187.97,1,1,,
b) On trading derivatives,32.08,32.08,32.08,32.08,32.08,,,,-187.97,-187.97,-187.97,-187.97,45.10,70.94,,
5 Maximum of 100*Pv01 observed during the year**,,,,,,,-187.97,-187.97,-187.97,-187.97,-187.97,-187.97,,,,
a) On hedging,,,,,,1,-187.97,-187.97,=,=,=,=,=,=,=,
b) On trading,43.07,43.07,43.07,43.07,43.07,45.10,-187.97,-187.97,187.97,187.97,187.97,187.97,187.97,187.97,181.04,
6 Minimum of 100*Pv01 observed during the year**,,,,,,,,,,187.97,187.97,187.97,187.97,187.97,,
a) On hedging,,,,,,-,,,,,,,,1,,
b) On trading,18.83,18.83,18.83,18.83,18.83,32.39,0.34,0.34,0.34,0.34,0.34,0.34,44.41,,,
