Items /Related party,Promoter,Subsidiaries,Key management personnel,Total
Items /Related party,Promoter,Subsidiaries,Key management personnel,
Deposits taken,"3,679.07","1,423.41",18.54,"5,121.02"
,"(7,717.90)","(1,423.41)",(22.51),"(9,163.82)"
,0.47,10.62,0.76,11.85
Deposits placed,(0.47),(10.62),(0.76),(11.85)
Deposits placed,-,"5,181.82",2.55,"5,184.37"
Advances given,-,"(5,477.27)",(2.87),"(5,480.14)"
Fixed assets purchased from,-,1,-,=
Fixed assets sold to,1,1,1,-
Interest paid to,8.53,11.88,1.82,22.23
Interest received from,1,431.26,0.09,431.35
Income from services rendered to,308.94,62.91,#,371.85
Expenses for receiving services from Equity investments,586.66,"2,470.47",0.31,"3,057.44"
Expenses for receiving services from Equity investments,1,"3,826.49 (3,826.49)",1,"3,826.49"
Other Investments,-,,,"(3,826.49)"
Other Investments,,650.00,,650.00
Dividend paid to,- 864.62,"(1,101.22)",,"(1,101.22)"
Dividend received from,,- 423.72,10.40,875.02
,- 44.48,14.34,,423.72 58.82
Receivable from,(55.33),(14.34),,(69.67)
Receivable from,100.28,147.26,,247.54
Payable to,(100.28),(206.74),,(307.02)
Payable to,0.39,-,,
Guarantees given,(0.40),,1,0.39 (0.40)
Remuneration paid,=,,27.56,27.56
Loans purchased from,"24,127.25",,1,"24,127.25"
