,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-20
SCHEDULE 2A - MINORITY INTEREST,"276,0296,051,618","276,0296,051,618",
Minority interest at the date on which parent subsidiary relationship came into existence,"276,0296,051,618","276,0296,051,618","276,029"
Subsequent increase,"276,0296,051,618","276,0296,051,618","5,490,384"
Total,"6,327,647","6,327,647","5,766,413"
Includes reserves of Employee Welfare Trust of 150.12 crore (previous year147.61 crore),,,
SCHEDULE 3 - DEPOSITS,,,
A-Demand deposits,,,
(From banks,"38,701,928","38,701,928","36,285,672"
(ii) From others,"2,072,060,514","2,072,060,514","1,695,304,394"
Total,"2,110,762,442","2,110,762,442","1,731,590,066"
I Savings bank deposits,"4,034,924,747","4,034,924,747","3,103,769,443"
I| Term deposits,,,
()From banks,"106,458,399","106,458,399","136,163,876"
(i) From others,"7,085,063,170","7,085,063,170","6,490,547,951"
Total,"7,191,521,569","7,191,521,569","6,626,711,827"
Total,"13,337,208,758","13,337,208,758","11,462,071,336"
BIDeposits of branches in India,,"13,278,324,337","11,413,640,800"
IDeposits of branches outside India,"58,884,421","58,884,421","48,430,536"
Total,"13,337,208,758","13,337,208,758","11,462,071,336"
SCHEDULE4 -BORROWINGS,,,
Borrowings in India,,,
(Reserve Bank of India,"90,200,000","90,200,000","17,260,000"
(ii) Other banks,"115,042,682","115,042,682","138,040,829"
(i) Other institutions and agencies,"693,515,600","693,515,600","749,824,337"
(iv)Upper and lower tier Il capital and innovative perpetual debts,"211,270,000","211,270,000","218,755,000"
(v)Bonds and Debentures (excluding subordinated debt),"389,752,149","389,752,149","392,424,149"
Total,"1,499,780,431","1,499,780,431","1,516,304,315"
I Borrowings outside India,"277,187,056","277,187,056","352,038,916"
Total,"1,776,967,487","1,776,967,487","1,868,343,231"
Securedborroigsinudedin&oe:52croe(prevosyar:4.7ore)exceptborrowngsof.cro(previousyea5224ounderepurcastrasactisdingtr-artyandtrasactisuderLiqdityusmtiityand Marginal Standing Facility,Securedborroigsinudedin&oe:52croe(prevosyar:4.7ore)exceptborrowngsof.cro(previousyea5224ounderepurcastrasactisdingtr-artyandtrasactisuderLiqdityusmtiityand Marginal Standing Facility,Securedborroigsinudedin&oe:52croe(prevosyar:4.7ore)exceptborrowngsof.cro(previousyea5224ounderepurcastrasactisdingtr-artyandtrasactisuderLiqdityusmtiityand Marginal Standing Facility,Securedborroigsinudedin&oe:52croe(prevosyar:4.7ore)exceptborrowngsof.cro(previousyea5224ounderepurcastrasactisdingtr-artyandtrasactisuderLiqdityusmtiityand Marginal Standing Facility
