Particulars,"March 31,2021","March 31,2020"
Amount recognised in Balance Sheet,,
Fair value of plan assets as at March 31,834.44,577.97
Present value of obligation as at March 31,"(1,017.22)",(851.66)
Asset/(Liability)as at March 31,(182.78),(273.69)
Expenses recognised in Profit and Loss Account,,
Interest cost,52.16,45.10
Current service cost,114.56,102.92
Expected return on plan assets,(44.05),(38.78)
Net actuarial (gain) /loss recognised in the year,(75.10),119.00
Net cost,47.57,228.24
Actual return on plan assets,167.14,(20.64)
Estimated contribution for the next year,163.64,181.17
Assumptions (HDFC Bank Limited),,
Discount rate,6.50% per annum,6.60% per annum
Expected return on plan assets,6.50% per annum,7.00% per annum
Salary escalation rate,7.00% per annum,7.00% per annum
Assumptions (HDFC Securities Limited),,
Discount rate,6.20% per annum,5.95% per annum
Expected return on plan assets,6.20% per annum,5.95% per annum
Salary escalation rate,7.86% per annum,7.33% per annum
Assumptions (HDB Financial Services Limited),,
Discount rate,3.86% per annum,4.87% per annum
Expected return on plan assets,3.86% per annum,4.87% per annum
Salary escalation rate,5.00% - 9.00%per annum,7.00% -8.00%per annum
