Sr.No.Category,Name of Director
1 Executive,"Mr. Sashidhar Jagdishan (ManagingDirector & Chief Executive Officer),Mr.Kaizad Bharucha"
Directors,"Mr. Sashidhar Jagdishan (ManagingDirector & Chief Executive Officer),Mr.Kaizad Bharucha"
2 Non-Executive,"Mr. Srikanth Nadhamuni, Mrs.RenuKarnad (Nominee of Housing DevelopmentFinance Corporation Limited,promoter ofthe Bank)"
Directors,"Mr. Srikanth Nadhamuni, Mrs.RenuKarnad (Nominee of Housing DevelopmentFinance Corporation Limited,promoter ofthe Bank)"
,"Mr. Srikanth Nadhamuni, Mrs.RenuKarnad (Nominee of Housing DevelopmentFinance Corporation Limited,promoter ofthe Bank)"
3 Independent,"Mr. Atanu Chakraborty (Part-timeNon-ExecutiveChairman &AdditionalIndependent Director), Mr. SanjivSachar,Mr. UmeshChandraSarangi,Mr. SandeepParekh，Mr.Malay Pate,Mr.M.D.Ranganath，Dr.(Ms.）SunitaMaheshwari (Additional IndependentDirector)"
Directors,"Mr. Atanu Chakraborty (Part-timeNon-ExecutiveChairman &AdditionalIndependent Director), Mr. SanjivSachar,Mr. UmeshChandraSarangi,Mr. SandeepParekh，Mr.Malay Pate,Mr.M.D.Ranganath，Dr.(Ms.）SunitaMaheshwari (Additional IndependentDirector)"
,"Mr. Atanu Chakraborty (Part-timeNon-ExecutiveChairman &AdditionalIndependent Director), Mr. SanjivSachar,Mr. UmeshChandraSarangi,Mr. SandeepParekh，Mr.Malay Pate,Mr.M.D.Ranganath，Dr.(Ms.）SunitaMaheshwari (Additional IndependentDirector)"
,"Mr. Atanu Chakraborty (Part-timeNon-ExecutiveChairman &AdditionalIndependent Director), Mr. SanjivSachar,Mr. UmeshChandraSarangi,Mr. SandeepParekh，Mr.Malay Pate,Mr.M.D.Ranganath，Dr.(Ms.）SunitaMaheshwari (Additional IndependentDirector)"
,"Mr. Atanu Chakraborty (Part-timeNon-ExecutiveChairman &AdditionalIndependent Director), Mr. SanjivSachar,Mr. UmeshChandraSarangi,Mr. SandeepParekh，Mr.Malay Pate,Mr.M.D.Ranganath，Dr.(Ms.）SunitaMaheshwari (Additional IndependentDirector)"
,"Mr. Atanu Chakraborty (Part-timeNon-ExecutiveChairman &AdditionalIndependent Director), Mr. SanjivSachar,Mr. UmeshChandraSarangi,Mr. SandeepParekh，Mr.Malay Pate,Mr.M.D.Ranganath，Dr.(Ms.）SunitaMaheshwari (Additional IndependentDirector)"
,"Mr. Atanu Chakraborty (Part-timeNon-ExecutiveChairman &AdditionalIndependent Director), Mr. SanjivSachar,Mr. UmeshChandraSarangi,Mr. SandeepParekh，Mr.Malay Pate,Mr.M.D.Ranganath，Dr.(Ms.）SunitaMaheshwari (Additional IndependentDirector)"
,"Mr. Atanu Chakraborty (Part-timeNon-ExecutiveChairman &AdditionalIndependent Director), Mr. SanjivSachar,Mr. UmeshChandraSarangi,Mr. SandeepParekh，Mr.Malay Pate,Mr.M.D.Ranganath，Dr.(Ms.）SunitaMaheshwari (Additional IndependentDirector)"
