Name of the Director,Board Meetings attended during the year,Attendance at last virtual AGM (July 18, 2020)
Independent Directors,Mrs. Shyamala Gopinath1,12,Present
Independent Directors,Mr. Malay Patel,17,Present
Independent Directors,Mr. Umesh Chandra Sarangi,17,Present
Independent Directors,Mr. Sandeep Parekh,17,Present
Independent Directors,Mr. M.D. Ranganath,17,Present
Independent Directors,Mr. Sanjiv Sachar,17,Present
Non-executive Directors,Mr. Srikanth Nadhamuni,17,Present
Non-executive Directors,Mrs. Renu Karnad,17,Present
Executive Directors,Mr. Aditya Puri2,7,Present
Executive Directors,Mr. Kaizad Bharucha,16,Present
Executive Directors,Mr. Sashidhar Jagdishan3,9,NA
