"CATEGORIES OF SHAREHOLDERS AS AT MARCH 31, 2021",No of shares,% to Capital
Promoters (*),"1,164,625,834",21.13
ADS (#),"1,028,115,525",18.65
Foreign Institutional Investors,"1,784,337,350",32.37
"Overseas Corporate Bodies, Foreign Bodies, Foreign National and Non Resident Indians","6,052,113",0.1
"Financial Institutions, Banks, Mutual Funds and Central Government","7,75,042,865",14.06
Life Insurance Corporation and its subsidiaries,"152,251,004",2.76
Other Insurance Corporations,"10,227,623",0.19
Indian Companies,"97,588,497",1.77
Others,"494,535,671",8.97
TOTAL,"5,512,776,482",100.00
