1) (2),1) (2),1) (2),（3),（3),（4),,,,(5）,(6),（7),（7),(8),（9),（9),（10）,(11),(11),(11),
SI. Name of the,SI. Name of the,SI. Name of the,Item from the,Item from the,Local,Locat,Locat,Locat,Location of the projectDistrict,Project AmountdurationAllocated forthe Project(crore),Project AmountdurationAllocated forthe Project(crore),Project AmountdurationAllocated forthe Project(crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amounttransferred to,Amounttransferred to,Modeof,
No.Project.,No.Project.,,listofa,,,Locat,Locat,Locat,Location of the projectDistrict,Project AmountdurationAllocated forthe Project(crore),Project AmountdurationAllocated forthe Project(crore),Project AmountdurationAllocated forthe Project(crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amounttransferred to,Amounttransferred to,Modeof,
,,,,,,,,,Location of the projectDistrict,Project AmountdurationAllocated forthe Project(crore),Project AmountdurationAllocated forthe Project(crore),Project AmountdurationAllocated forthe Project(crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),,,,
,,,,list of activitiesin schedule Vllto the Act.,list of activitiesin schedule Vllto the Act.,area(Yes/No,State,State,State,Project AmountdurationAllocated forthe Project(crore),Project AmountdurationAllocated forthe Project(crore),Project AmountdurationAllocated forthe Project(crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),,,,
,,,,list of activitiesin schedule Vllto the Act.,list of activitiesin schedule Vllto the Act.,area(Yes/No,State,State,State,Project AmountdurationAllocated forthe Project(crore),Project AmountdurationAllocated forthe Project(crore),Project AmountdurationAllocated forthe Project(crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Name,Name,CSRRegistrationnumber,
,,,Year ( crore),list of activitiesin schedule Vllto the Act.,list of activitiesin schedule Vllto the Act.,area(Yes/No,State,State,State,Project AmountdurationAllocated forthe Project(crore),Project AmountdurationAllocated forthe Project(crore),Project AmountdurationAllocated forthe Project(crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Amount Amount Modeofspent intransferred tothe currentUnspent CSR-Direct (Yes/No)financialAccount forYear ( crore)the project asperSection135(6)( crore),Name,Name,CSRRegistrationnumber,
26Livelihood,26Livelihood,26Livelihood,Vocational,Vocational,Yes,Maharashtra,Maharashtra,Maharashtra,"Amravati, Yavatmal,Nainital, Pithoragarh,Dahod,Mayurbhanj,Kalahandi,Sirohi,Dumka",1 year,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,Tata CSR00003775Education andDevelopmentTrust,Tata CSR00003775Education andDevelopmentTrust,Tata CSR00003775Education andDevelopmentTrust,
Promotion for,Promotion for,Promotion for,Training and,Training and,,"Uttarakhand,","Uttarakhand,","Uttarakhand,","Amravati, Yavatmal,Nainital, Pithoragarh,Dahod,Mayurbhanj,Kalahandi,Sirohi,Dumka",1 year,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,Tata CSR00003775Education andDevelopmentTrust,Tata CSR00003775Education andDevelopmentTrust,Tata CSR00003775Education andDevelopmentTrust,
Farmers,Farmers,Farmers,Livelihood,Livelihood,,"Gujarat,","Gujarat,","Gujarat,","Amravati, Yavatmal,Nainital, Pithoragarh,Dahod,Mayurbhanj,Kalahandi,Sirohi,Dumka",1 year,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,Tata CSR00003775Education andDevelopmentTrust,Tata CSR00003775Education andDevelopmentTrust,Tata CSR00003775Education andDevelopmentTrust,
,,,Enhancement,Enhancement,,"Odisha,","Odisha,","Odisha,","Amravati, Yavatmal,Nainital, Pithoragarh,Dahod,Mayurbhanj,Kalahandi,Sirohi,Dumka",1 year,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,Tata CSR00003775Education andDevelopmentTrust,Tata CSR00003775Education andDevelopmentTrust,Tata CSR00003775Education andDevelopmentTrust,
