Total,,"886,089,272","754,806,172"
tsv,,,
Schedule Year ended 31-Mar-21,Year ended 31-Mar-20,,
I INCOME,INCOME,,
Interest earned 13,Interest earned 13,"1,208,582,265","1,148,126,509"
Other income 14,Other income 14,"252,048,927","232,608,187"
Total,Total,"1,460,631,192","1,380,734,696"
II EXPENDITURE,EXPENDITURE,,
Interest expended 15,Interest expended 15,"559,786,560","586,263,979"
Operating expenses 16,Operating expenses 16,"327,226,301","306,975,289"
Provisions and contingencies [Refer Schedule 18 (24)],Provisions and contingencies [Refer Schedule 18 (24)],"262,453,079","224,922,278"
Total,Total,"1,149,465,940","1,118,161,546"
III PROFIT,I/I PROFIT,,
Net profit for the year,Net profit for the year,"311,165,252","262,573,150"
Balance in the Profit and Loss account brought forward,Balance in the Profit and Loss account brought forward,"574,924,020","492,233,022"
Total,Total,"886,089,272","754,806,172"
IV APPROPRIATIONS,IV APPROPRIATIONS,,
Transfer to Statutory Reserve,Transfer to Statutory Reserve,"77,791,313","65,643,288"
"Dividend (including tax / cess thereon) pertaining to previous year paid during the year, net of dividend tax credits",,,
Interim Dividend (including tax),,,
Transfer to General Reserve,Transfer to General Reserve,"31,116,525","26,257,315"
Transfer to Capital Reserve,Transfer to Capital Reserve,"22,916,842","11,238,460"
Transfer to / (from) Investment Reserve Account,,"616,645",
Transfer to / (from) Investment Fluctuation Reserve,Transfer to/ (from) Investment Fluctuation Reserve,"17,120,000","11,340,000"
Balance carried over to Balance Sheet,Balance carried over to Balance Sheet,"736,527,947","574,924,020"
Total,,"886,089,272",
V EARNINGS PER EQUITY SHARE (Face value ₹ 1 per share),VEARNINGS PER EQUITY SHARE (Face value 1 per share),,
Basic,Basic,56.58,
Diluted,Diluted,56.32,
"Significant accounting policies and notes to the financial statements, 17 & 18",Significant accounting policies and notes to the financial statements 17&18The schedules referred to above form an integral part of the Profit and LossAccount.,,
