```csv
"31 Dec 2020","Value","Quoted market price in active market","No quoted market price in active market","Thereof HSBC","31 Dec 2019","Value","Quoted market price in active market","No quoted market price in active market","Thereof HSBC"
"Fair value of plan assets","42,505","37,689","4,816","973","37,874","33,921","33,921","3,953","1,183"
"equities","268","7","261","—","662","312","312","350","—"
"bonds","36,198","35,479","719","—","31,699","31,699","31,699","—","—"
"derivatives","1,973","—","1,973","973","2,052","—","—","2,052","1,183"
"other","4,066","2,203","1,863","—","3,461","1,910","1,910","1,551","—"
"Fair value of plan assets","10,485","9,512","973","54","9,693","8,702","991","991","239"
"equities","1,484","1,069","415","3","2,065","1,455","610","2","8"
"bonds","7,624","7,143","481","10","6,608","6,376","232","8","—"
"derivatives","(57)","—","(57)","—","—","—","—","—","—"
"other","1,434","1,300","134","41","1,020","871","149","229","—"
```
