Profit/(loss) before tax by country/territory within global businesses,,,,,
,Wealth and Personal Banking,Commercial Banking,Global Banking and Markets,Corporate Centre,Total
Footnotes Europe,$m,$m (529),"$m (1,809)","$m (1,187)",$m
- UK 1,(680) (357),(543),"(1,769)","(1,555)","(4,205) (4,224)"
- of which:HSBC UK Bank plc (RFB),113,167,90,(124),246
- of which:HSBC Bank plc (NRFB),109,36,"(1,030)",(454),"(1,339)"
of which:Holdings and other,(579),(746),(829),(977),"(3,131)"
-France,(340),(168),(347),(310),"(1,165)"
-Germany,17,16,197,(15),215
Switzerland,,(4),1,(10),
-other,(2),170,110,703,(16) 985
Asia,"2 5,031","1,944","4,002","1,855","12,832"
- Hong Kong,"4,927","1,787","1,674",(181),"8,207"
-Australia,108,76,138,(7),315
- India,16,187,593,228,"1,024"
-Indonesia,(6),(14),147,(13),114
- mainland China,(34),295,506,"1,845","2,612"
-Malaysia,8,33,141,(55),127
- Singapore,45,(644),239,(12),(372)
-Taiwan,9,18,104,(2),129
-other,(42),206,460,52,676
Middle East and North Africa,(15),(120),478,(324),19
1 Egypt,68,46,185,(1),298
-UAE,(21),(210),102,(39),(168)
-Saudi Arabia,21,1,26,(264),(217)
-other,(83),44,165,(20),106
NorthAmerica,(449),366,712,(461),168
-US,(547),139,573,(391),
-Canada,52,225,100,(67),(226) 310
-other,46,2,39,(3),
Latin America,(183),(22),233,(65),84
-Mexico,(115),(106),59,(25),(37) (187)
-other,(68),84,174,(40),150
Year ended 31 Dec 2020,"3,704","1,639","3,616",(182),"8,777"
