Profit/(loss) before tax by country/territory within global businesses (continued)Wealth and GlobalPersonal Commercial CorporateBanking2 Banking2 Centre2 TotalFootnotes $m $m $m $m $m,Profit/(loss) before tax by country/territory within global businesses (continued)Wealth and GlobalPersonal Commercial CorporateBanking2 Banking2 Centre2 TotalFootnotes $m $m $m $m $m,Profit/(loss) before tax by country/territory within global businesses (continued)Wealth and GlobalPersonal Commercial CorporateBanking2 Banking2 Centre2 TotalFootnotes $m $m $m $m $m,Profit/(loss) before tax by country/territory within global businesses (continued)Wealth and GlobalPersonal Commercial CorporateBanking2 Banking2 Centre2 TotalFootnotes $m $m $m $m $m,Profit/(loss) before tax by country/territory within global businesses (continued)Wealth and GlobalPersonal Commercial CorporateBanking2 Banking2 Centre2 TotalFootnotes $m $m $m $m $m,Profit/(loss) before tax by country/territory within global businesses (continued)Wealth and GlobalPersonal Commercial CorporateBanking2 Banking2 Centre2 TotalFootnotes $m $m $m $m $m,Profit/(loss) before tax by country/territory within global businesses (continued)Wealth and GlobalPersonal Commercial CorporateBanking2 Banking2 Centre2 TotalFootnotes $m $m $m $m $m,,
Profit/(loss) before tax by country/territory within global businesses (continued)Wealth and GlobalPersonal Commercial CorporateBanking2 Banking2 Centre2 TotalFootnotes $m $m $m $m $m,Profit/(loss) before tax by country/territory within global businesses (continued)Wealth and GlobalPersonal Commercial CorporateBanking2 Banking2 Centre2 TotalFootnotes $m $m $m $m $m,Profit/(loss) before tax by country/territory within global businesses (continued)Wealth and GlobalPersonal Commercial CorporateBanking2 Banking2 Centre2 TotalFootnotes $m $m $m $m $m,Profit/(loss) before tax by country/territory within global businesses (continued)Wealth and GlobalPersonal Commercial CorporateBanking2 Banking2 Centre2 TotalFootnotes $m $m $m $m $m,Profit/(loss) before tax by country/territory within global businesses (continued)Wealth and GlobalPersonal Commercial CorporateBanking2 Banking2 Centre2 TotalFootnotes $m $m $m $m $m,Profit/(loss) before tax by country/territory within global businesses (continued)Wealth and GlobalPersonal Commercial CorporateBanking2 Banking2 Centre2 TotalFootnotes $m $m $m $m $m,Profit/(loss) before tax by country/territory within global businesses (continued)Wealth and GlobalPersonal Commercial CorporateBanking2 Banking2 Centre2 TotalFootnotes $m $m $m $m $m,$m,$m
Europe 134,Europe 134,"1,798","147 (2,894)","147 (2,894)",(815),(815),,
-UK 1,256,"1,393",(175),"(2,870)","(1,396)","(1,396)",,
-of which:HSBC UK Bank plc (RFB),602,967,4,(191),"1,382","1,382",,
of which:HSBC Bank plc (NRFB),618,"1,408",839,（787),"2,078","2,078",,
- of which: Holdings and other,(964),(982）,"(1,018)","(1,892)","(4,856)","(4,856)",,
1France,(42),163,7,(91,37,37,,
-Germany,26,92,116,(33),201,201,,
Switzerland,(76),5,(2),(4)104,(77)420,(77)420,,
-other,(30),145,201,(4)104,(77)420,(77)420,,
Asia,"7,025","4,475","4,097","2,193","17,790","17,790",,
-Hong Kong,"6,673","3,291","1,768",(218)(6),"11,514463","11,514463",,
-Australia,120,137,212,(218)(6),"11,514463","11,514463",463,
- India,36,157,433,199,,825,,
-Indonesia,7,21,97,"(21)2,1793","1042,858374","1042,858374",,
-mainland China,(195),282,592,"(21)2,1793","1042,858374","1042,858374",,
-Malaysia,145,89,137,"(21)2,1793","1042,858374","1042,858374",,
-Singapore,125,127,266,(27),491,491,,
-Taiwan,60,29342,138454,(2)86,225936,225936,,
-other,54,29342,138454,(2)86,225936,225936,,
Middle Eastand North Africa,251,142,769,395,"1,557","1,557",,
-Egypt,51142,6365114,2153071247,4(41)436（4),333473436315,333473436315,,
- UAE,51142,6365114,2153071247,4(41)436（4),333473436315,333473436315,,
- Saudi Arabia,158,6365114,2153071247,4(41)436（4),333473436315,333473436315,,
-other,158,6365114,2153071247,4(41)436（4),333473436315,333473436315,,
North America,37,"1,036",901,"(1,175)",799,799,,
- Us,(106),498,734,"(1,173",(4776581,(4776581,,
-Canada,99,489,187(20),(10)8,(4776581,(4776581,,
-other,44,49,187(20),(10)8,(4776581,(4776581,,
Latin America,133,138,354,(66),559,559,,
-Mexico,214,119,204150,（9(57),52831,52831,,
-other,(81),19,204150,（9(57),52831,52831,,
Year ended 31 Dec 2018,"7,580 7,589 6,268","7,580 7,589 6,268","7,580 7,589 6,268","(1,547)","19,890","19,890",,
