ECL of loans and advances to,Gross carrying amount,Central scenario ECL Upside scenario ECL,Central scenario ECL Upside scenario ECL,Central scenario ECL Upside scenario ECL,Downside scenario ECL,Alternative scenarios ECL
ECL of loans and advances to,Gross carrying amount,Reported ECL,,,Downside scenario ECL,Alternative scenarios ECL
customers at 31 December 20192,$m,$m,$m,$m,$m,$m
UK,,,,,,
Mortgages,"130,079",123,33,28,38,50-80
Credit cards,"9,359",431,421,376,506,670-930
Other,"10,137",382,318,282,374,490-700
Mexico,,,,,,
Mortgages,"3,385",32,31,24,41,
Credit cards,"1,295",211,211,190,231,
Other,"3,001",341,340,312,380,
Hong Kong,,,,,,
Mortgages,"86,448",0,0,0,0,0
Credit cards,"7,795",243,201,191,201,400
Other,"7,446",105,95,90,104,130
UAE,,,,,,
Mortgages,"1,983",92,92,83,91,
Credit cards,513,54,54,49,72,
Other,895,28,28,26,31,
France,,,,,,
Mortgages,"21,374",60,60,59,60,
Other,"1,643",73,73,73,74,
US,,,,,,
Mortgages,"14,732",22,22,21,24,
Credit cards,738,68,68,62,74,
Canada,,,,,,
Mortgages,"19,843",15,14,13,16,
Credit cards,270,7,7,7,7,
Other,"2,231",17,17,16,18,
