Strong,Good,Satisfactory,Sub-standard,Credit impaired,Total,Allowance for ECL/other credit provisions,Net
524889,258402,228485,20007,13692,1045475,-8732,1036743
354461,45037,27636,2286,4851,434271,-3134,431137
138126,190470,186383,16891,8629,540499,-5438,535061
32302,22895,14466,830,212,70705,-160,70545
60636,5329,1859,1395,0,69219,-16,69203
151788,1398,915,0,0,154101,-2,154099
4935,18,3,0,0,4956,0,4956
38380,0,0,0,0,38380,0,38380
193157,37947,9621,137,0,240862,0,240862
78318,6503,906,61,0,85788,-53,85735
70675,8638,11321,306,152,91092,-63,91029
1133,4651,4196,230,4,10214,-16,10198
69542,3987,7125,76,148,80878,-47,80831
333158,10966,7222,544,1,351891,-166,351725
135059,15240,22964,2181,0,175444,0,175444
4655,1391,5584,139,0,11769,0,11769
187636,42642,11894,821,2,242995,0,242995
1783286,388474,300774,25591,13847,2511972,-9032,2502940
70.9%,15.5%,12.0%,1.0%,0.6%,100%,,
369424,146988,77499,5338,780,600029,-329,599700
7441,6033,5539,1011,190,20214,-48,20166
376865,153021,83038,6349,970,620243,-377,619866
66148,69890,58754,2605,182,197579,0,197579
30099,23335,20062,2057,380,75933,-132,75801
96247,93225,78816,4662,562,273512,-132,273380
