Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,,,,,,,,,,
Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Total
Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI Total$m $m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,Stage 1 Stage 2 Stage 3 POCI Total Stage 1 Stage 2 Stage 3 POCI$m $m $m $m $m $m $m $m $m,$m
Corporate and commercial,"387,563","126,287","12,961 277","12,961 277","527,088","(1,101)","(2,444)","(5,837)",(112),"(9,494)",,,,,,,,,,
"-agriculture,forestryand fishing","6,087","1,026",331,1,"7,445",(12),(45),(149),(1),(207),,,,,,,,,,
mining and quarrying,"7,429","3,705",797,16,"11,947",(33),(112),(209),(11),(365),,,,,,,,,,
manufacturing,"68,179","23,564","2,076",87,"93,906",(201),(442),(905),(40)11,"(1,588)(73)(37)",,,,,,,,,,
"- electricity, gas,steam and air-conditioning supply","14,240","1,907",53,1,"16,200",(25),(40),(8) (22),(40)11,"(1,588)(73)(37)",,,,,,,,,,
"：water supply,sewerage,wastemanagement and remediation","2,874",253,47,1,"3,174",(8),(7),(8) (22),(40)11,"(1,588)(73)(37)",,,,,,,,,,
construction,"9,368","4,455",773,4,"14,600",(42),(118),(426),(4)(3),(590),,,,,,,,,,
"- wholesale and retail trade,repair ofmotor vehicles and motorcycles","65,937","21,518","3,196",12,"90,663",(174),(326),"(2,029)",(4)(3),"(2,532)",,,,,,,,,,
：transportation and storage,"19,510","9,143",769,11,"29,433",(90),(163),(240),,(493),,,,,,,,,,
accommodation and food,"10,616","14,918",536,1,"26,071",(76),(285),(129),(1)(20),(491)(189),,,,,,,,,,
"publishing,audiovisual andbroadcasting","17,019","2,796",131,33,"19,979",(45),(85),(39),(1)(20),(491)(189),,,,,,,,,,
real estate,"102,933","22,186","1,907",1,"127,027",(169),(260),(738),1,"(1,167)(398)",,,,,,,,,,
"：professional,scientificand techicalactivities","17,162","6,379",498,33,,,,,,"(1,167)(398)",,,,,,,,,,
"：professional,scientificand techicalactivities","17,162","6,379",498,33,"24,072",(56),(149),(185),(8),"(1,167)(398)",,,,,,,,,,
administrative and support services,"17,085","8,361",907,70,"26,423",(66),(153),(291),(24),(534),,,,,,,,,,
"- public administration and defence,compulsory social security","1,530",475,3,一,"2,008",(2),(11),(1),一,(14),,,,,,,,,,
education,"1,402",691,29,1,"2,122",(12),(20),(9),,(41),,,,,,,,,,
health and care,"4,049","1,192",261,8,"5,510",(21),(45),(120),,(186),,,,,,,,,,
"：arts,entertainment and recreation","1,631","1,570",236,一,"3,437",(9),(62),(87),,(158),,,,,,,,,,
-other services,"11,380","1,320",410,1,"13,110",(54),(105),(249),,(408),,,,,,,,,,
- activities of households,660,142,1,1,802,1,(1),1,,(1)1,,,,,,,,,,
- extra-territorial organisations andbodies activities,10,1,1,1,10,1,1,1,,(1)1,,,,,,,,,,
-government,"7,866",671,1,1,"8,538",(6),(2),(1),一,(9),,,,,,,,,,
- asset-backed securities,596,15,1,1,611,1,(13),1,1,(13),,,,,,,,,,
Non-bank financial institutions,"52,223","11,834 523","11,834 523",二,"64,580",(46),(119),(100),1,(265),,,,,,,,,,
Loans and advances to banks,"79,654 2,004 二 1 81,658","79,654 2,004 二 1 81,658","79,654 2,004 二 1 81,658","79,654 2,004 二 1 81,658","79,654 2,004 二 1 81,658",(33),（9),二 1 (42),二 1 (42),二 1 (42),,,,,,,,,,
At 31 Dec 2020,"519,440 140,125 13,484 277 673,326","519,440 140,125 13,484 277 673,326","519,440 140,125 13,484 277 673,326","519,440 140,125 13,484 277 673,326","519,440 140,125 13,484 277 673,326","(1,180) (2,572)","(1,180) (2,572)","(5,937) (112) (9,801)","(5,937) (112) (9,801)","(5,937) (112) (9,801)",,,,,,,,,,
