,Non-credit impaired Stage 2,Non-credit impaired Stage 2,Non-credit impaired Stage 2,Credit impaired,Credit impaired,Credit impaired,Total,Total
,Stage 1,,,,Stage 3,Stage 3,Total,Total
,Gross carrying/ nominal,Allowance,Gross carrying/ nominal,Allowance,Gross carrying/ nominal,Allowance,Gross carrying/ nominal,Allowance
At 1 Jan 2020,"$m 635,961",$m,"$m 17,382",$m,$m,$m,$m,$m
Transfers of financial instruments,,(597) (629),"13,370","(1,338) 1,181","5,046 2,649","(1,215)","658,389","(3,150)"
Net remeasurement of ECLarising from transfer of stage,"(16,019)",431,1,,,(552) (8),二,二
Net new and further lending/repayments,1,101,"(5,407)",(555),1,,1,(132)
Change in risk parameters-credit quality,"30,891 1",(147),,"408 (2,025)",(677) 1,"150 (1,258)","24,807",659
Changes to models used for ECL calculation,1,(3),,(9),1,5,1,"(3,430)"
Assets written off,1,二,,,"(1,409)","1,407",1,(7)
Foreign exchange and other,"14,513",(22),"1,425",二 (67),153,(32),"(1,409)","1,407"
At31 Dec 2020,"665,346",(866),"26,770","(2,405)","5,762","(1,503)","16,091",(121)
ECLincome statement change for the period,,382,,"(2,181)",,,"697,878","(4,774)"
,,,,,,"(1,111)",,"(2,910)"
Recoveries,,,,,,,,280
Other Total ECL income statement change for the period,,,,,,,,"(25) (2,655)"
