,Gross carrying amount,Gross carrying amount,Gross carrying amount,Gross carrying amount,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,ECL
,PD range1 %,Stage 1 $m,Stage 2 $m,Stage 3 $m,Total $m,Stage 1,Stage 2 $m,Stage 3 $m,Total coverage,ECL
First lien residential,,,,,,$m,,,$m,%
mortgages,,"336,666","12,233","3,383","352,282",(125),(188),(442),(755),0.2
1 Band1,0.000 to 0.250,"284,252","1,283",1,"285,535",(36),(3),1,(39),二
1 Band2,0.251 to 0.500,"16,259",302,1,"16,561",(9),(3),,(12),0.1
-Band 3,0.501 to 1.500,"27,055","1,755",一,"28,810",(64),(8),1,(72),0.2
Band4,1.501 to 5.000,"8,858","5,134",,"13,992",(15),(32),,(47),0.3
Band5,5.001 to 20.000,238,"1,806",一,"2,044",(1),(41),1,(42),2.1
-Band6,20.001 to 99.999,4,"1,953",一,"1,957",1,(101),1,(101),5.2
-Band7,100.000,二,二,"3,383","3,383",1,1,(442),(442),13.1
Other personal lending,,"93,468","12,831","2,228","108,527",(702),"(2,214)","(1,060)","(3,976)",3.7
1 Band1,0.000 to 0.250,"41,565",589,1,"42,154",(96),(8),1,(104),0.2
Band 2,0.251 to 0.500,"13,053",518,1,"13,571",(31),(63),1,(94),0.7
Band3 1,0.501 to 1.500,"23,802","1,280",1,"25,082",(108),(37),一,(145),0.6
-Band 4,1.501 to 5.000,"11,787","2,175",一,"13,962",(270),(112),1,(382),2.7
-Band5,5.001 to 20.000,"3,234","5,288",一,"8,522",(197),(821),1,"(1,018)",
1 Band6,20.001 to 99.999,27,"2,981",1,"3,008",,"(1,173)",1,"(1,173)",11.9
-Band7,100.000,二,二,"2,228","2,228",1,1,"(1,060)",,39.0
At31Dec 2020,,"430,134","25,064","5,611","460,809",(827),"(2,402)","(1,502)","(1,060) (4,731)",47.6 1.0
First lien residential,,,,,,,,,,
mortgages -Band1,,"312,031","7,077","3,070","322,178",(39),(68),(422),(529),0.2
1 Band 2,0.000 to 0.250,"268,490",284,,"268,774",(16,1,1,(16,二
1 Band3,0.251 to 0.500,"22,293",301,,"22,594",(4),,,(4),二
,0.501 to 1.500,"17,247","2,313",,"19,560",(13),(3),,(16,0.1
-Band4 -Band5,1.501 to 5.000,"3,796","1,970",,"5,766",(5),(7),,(12),0.2
,5.001 to 20.000,198,"1,383",,"1,581",(1),(23),,(24),1.5
-Band 6 1 Band7,20.001 to 99.999,7,826,,833,,(35),,(35),4.2
Other personal lending,100.000,,,"3,070","3,070",,,(422),(422),13.7
,,"101,638","8,674","1,781","112,093",(544),"(1,268)",（793),"(2,605)",2.3
-Band 1 -Band 2,0.000 to 0.250,"46,533",60,1,"46,593",(120),1,1,(120,0.3
,0.251 to 0.500,"16,435",65,,"16,500",(38),(26),,(64),0.4
= Band3,0.501 to 1.500,"25,160",317,,"25,477",(110),(13),,(123),0.5
Band4,1.501 to 5.000,"10,951","3,483",,"14,434",(144),(329),,(473),3.3
-Band5,5.001 to 20.000,"2,421","3,434",,"5,855",(132),(440),,(572),9.8
-Band 6,20.001 to 99.999,138,"1,315",,"1,453",1,(460),,(460),31.7
Band7,100.000,1,1,"1,781","1,781",1,1,(793),"(793) (3,134)",44.5 0.7
At31Dec 2019,,"413,669","15,751","4,851","434,271",（583）,"(1,336)","(1,215)",,
