Total,Gross carrying/nominal amount,,ECL coverage,UK,Gross carrying/nominal amount,,ECL coverage,Hong Kong,Gross carrying/nominal amount,,ECL coverage
Stage 1,Fully collateralised,"354,102",-,"159,562",-,"90,733",-,,,,
LTV ratio:,-,less than 50%,"174,370",,"76,535",,"54,866",,,,
LTV ratio:,-,51% to 60%,"60,180",,"23,967",,"14,253",,,,
LTV ratio:,-,61% to 70%,"48,159",,"23,381",,"6,042",,,,
LTV ratio:,-,71% to 80%,"40,395",0.1,"20,846",,"4,288",,,,
LTV ratio:,-,81% to 90%,"23,339",0.1,"12,936",,"6,837",,,,
LTV ratio:,-,91% to 100%,"7,659",0.1,"1,897",0.1,"4,447",-,,,
Partially collateralised (A):,973,0.4,289,-,336,-,,,,,
LTV ratio:,-,101% to 110%,592,0.4,84,1,334,-,,,
LTV ratio:,-,111% to 120%,101,0.5,45,1,334,-,,,
LTV ratio:,-,greater than 120%,280,0.3,160,1,2,-,,,
LTV ratio:,-,collateral value on A,847,212,212,328,328,-,,,
Total,"355,075",,-,"159,851",,-,"91,069",,,,
Stage 2,Fully collateralised,"12,252",1.5,"4,229",1.4,"1,802",-,,,,
LTV ratio:,-,less than 50%,"6,694",1.1,"2,442",1.2,"1,256",,,,
LTV ratio:,-,51% to 60%,"2,223",1.1,730,1.3,253,-,,,
LTV ratio:,-,61% to 70%,"1,779",1.6,606,1.3,83,,,,
LTV ratio:,-,71% to 80%,987,2.8,244,2.9,111,-,,,
LTV ratio:,-,81% to 90%,400,4.9,139,3.6,60,,,,
LTV ratio:,-,91% to 100%,169,5.7,68,3.3,39,-,,,
Partially collateralised (B):,53,13.6,4,3.3,9,-,,,,,
LTV ratio:,-,101% to 110%,28,11.9,3,1.5,9,-,,,
LTV ratio:,-,111% to 120%,9,16.8,,,,,,,
LTV ratio:,-,greater than 120%,16,14.8,1,8.5,-,,,,
LTV ratio:,-,collateral value on B,47,4,4,9,9,-,,,
Total,"12,305",1.5,"4,233",1.4,"1,811",,,,,,
Stage 3,Fully collateralised,"3,083",9.8,"1,050",12.3,63,-,,,,
LTV ratio:,-,less than 50%,"1,472",8.0,676,10.9,53,,,,
LTV ratio:,-,51% to 60%,505,8.7,144,15.1,6,-,,,
LTV ratio:,-,61% to 70%,435,9.2,112,12.9,,,,,
LTV ratio:,-,71% to 80%,378,11.5,81,13.7,2,-,,,
LTV ratio:,-,81% to 90%,195,17.3,28,22.4,2,,,,
LTV ratio:,-,91% to 100%,98,24.3,9,17.8,-,,,,
Partially collateralised (C):,328,42.7,17,22.9,,,,,,,
LTV ratio:,-,101% to 110%,75,30.4,9,16.7,-,,,,
LTV ratio:,-,111% to 120%,56,38.8,5,17.6,,,,,
LTV ratio:,-,greater than 120%,197,48.5,3,50.3,-,,,,
LTV ratio:,-,collateral value on C,228,10,10,1,1,,,,
Total,"3,411",13.0,"1,067",12.5,63,-,,,,,
At 31 Dec 2020,"370,791",0.2,"165,151",0.1,"92,943",,,,,,
