CapitaladequacymetricsAt 31 Dec 31Dec2020 2019,CapitaladequacymetricsAt 31 Dec 31Dec2020 2019,CapitaladequacymetricsAt 31 Dec 31Dec2020 2019,,
CapitaladequacymetricsAt 31 Dec 31Dec2020 2019,CapitaladequacymetricsAt 31 Dec 31Dec2020 2019,CapitaladequacymetricsAt 31 Dec 31Dec2020 2019,At,At
CapitaladequacymetricsAt 31 Dec 31Dec2020 2019,CapitaladequacymetricsAt 31 Dec 31Dec2020 2019,CapitaladequacymetricsAt 31 Dec 31Dec2020 2019,31 Dec2020,31Dec2019
Risk-weighted assets ('RWAs') ($bn),,,,
Credit risk,691.9,676.6,,
Counterparty credit risk,42.8,44.1,,
Market risk,28.5,29.9,,
Operational risk,94.3,92.8,,
TotalRWAs,857.5,843.4,,
Capital ona transitional basis ($bn),,,,
Common equity tier 1('CET1') capital,136.1,124.0,,
Tier 1capital,160.2,148.4,,
Total capital,184.4,172.2,,
Capital ratios on a transitional basis (%),,,,
Common equity tier 1 ratio,15.9,14.7,,
Tier1ratio,18.7,17.6,,
Total capital ratio,21.5,20.4,,
Capital on an end point basis ($bn),,,,
Common equity tier1('CET1') capital,136.1,124.0,,
Tier1 capital,158.5,144.8,,
Total capital,173.2,159.3,,
Capital ratios on an end point basis (%),,,,
Common equity tier 1 ratio,15.9,14.7,,
Tier1ratio,18.5,17.2,,
Total capital ratio,20.2,18.9,,
Liquidity coverage ratio ('LCR'),,,,
Total high-quality liquid assets ($bn),677.9,601.4,,
Total net cash outflow ($bn),487.3,400.5,,
LCR ratio (%),139.1,150.2,,
