Repricinggapanalysisof HSBC Holdings,,,,,,,
Repricinggapanalysisof HSBC Holdings,Total,Up to 1 year,From over 1 to 5 years,From over 5 to 10 years,More than 10 years,Non-interest bearing,
Repricinggapanalysisof HSBC Holdings,Total,Up to 1 year,From over 1 to 5 years,From over 5 to 10 years,More than 10 years,Non-interest bearing,$m $m
Footnotes Cash at bank and in hand:,,,$m,$m,$m,$m,
-balances with HSBC undertakings,"2,913","2,913",二,二,二,二,
Derivatives,"4,698",二,二,1,二,"4,698",
Loans and advances to HSBC undertakings,"75,696","25,610","22,190","20,398","2,000","5,498",
Financial investments in HSBC undertakings,"17,485","15,112","2,771",二,二,(398),
Investments in subsidiaries,"156,485","5,381","7,660","1,500",二,"141,944",
Other assets,"1,721",257,1,1,1,"1,464",
Total assets,"258,998","49,273","32,621","21,898","2,000","153,206",
Amounts owed to HSBC undertakings,(330),(330),二,二,二,1,
Financial liabilities designated at fair values,"(25,664)","(1,827)","(6,533)","(13,535)",(750),"(3,019)",
Derivatives,"(3,060)",1,1,1,二,"(3,060)",
Debt securities in issue,"(64,029)","(9,932)","(29,026)","(22,063)","(2,000)",,
Other liabilities,"(5,375)",二,二,1,二,"(1,008)",
Subordinated liabilities,"(17,916)",二,"(3,839)","(1,780)","(10,463)","(5,375)",
Total equity,"(142,624)","(1,464)","(11,439)","(9,198)",,"(1,834) (120,523)",
Total liabilities and equity,"(258,998)","(13,553)","(50,837)","(46,576)","(13,213)","(134,819)",
Off-balance sheet items attracting interest rate sensitivity,,"(20,324)","11,562","2,492","6,200",70,
Net interest rate risk gap at 31 Dec 2020,,"15,396","(6,654)","(22,186)","(5,013)","18,457",
Cumulative interest rate gap,,"15,396","8,742","(13,444)","(18,457)",,
