Notes*,,At,At
Notes*,,31 Dec 2020,31Dec 2019
Assets,Assets,$m,$m
Cash and balances at central banks,Cash and balances at central banks,,
,,"304,481 4,094","154,099"
Items in the course of collection from other banks,Items in the course of collection from other banks,"40,420","4,956"
Hong Kong Government certificates of indebtedness,,"231,990","38,380"
Trading assets,11,,"254,271"
Financial assets designated and otherwise mandatorily measured at fair value through profit or loss,14,"45,553","43,627"
Derivatives Loansand advances to banks,15,"307,726","242,995"
Loansand advances to customers,,"81,616","69,203"
Reverse repurchase agreements-non-trading,,"1,037,987 230,628","1,036,743"
Financial investments,16,"490,693","240,862 443.312"
"Prepayments,accrued incomeand other assets",22,"156,412","136,680"
Current taxassets,,954,
Interests in associates and joint ventures,18,,755
Goodwill and intangible assets,,"26,684","24,474"
Deferred taxassets,21,"20,443","20,163"
,7,"4,483","4,632"
Total assets,,"2,984,164","2,715,152"
Liabilitiesand equity Liabilities,,,
Hong Kong currency notes in circulation,,,
Deposits by banks,,"40,420","38,380"
Customer accounts,,"82,080","59,022"
Repurchase agreements-non-trading,,"1,642,780","1,439,115"
,,"111,901","140,344"
Items in the course of transmission to other banks,,"4,343","4,817"
Trading liabilities,23,"75,266","83,170"
Financial liabilitiesdesignatedat fairvalue,24,"157,439","164,466"
Derivatives,15,"303,001","239,497"
Debt securities in issue,25,"95,492","104,555"
"Accruals,deferred incomeand other liabilities",26,"128,624","118,156"
Current tax liabilities,,690,"2,150"
Liabilities under insurance contracts,4,"107,191","97,439"
Provisions,27,"3,678","3,398"
Deferred tax liabilities,7,"4,313","3,375"
Subordinated liabilities,28,"21,951","24,600"
Total liabilities,,"2,779,169","2,522,484"
Equity,,,
Called up share capital,31,"10,347","10,319"
Share premium account,31,"14,277","13,959"
Other equity instruments,,"22,414","20,871"
Other reserves,,"8,833","2,127"
Retained earnings,,"140,572","136,679"
Total shareholders'equity,,"196,443","183,955"
Non-controlling interests,,"8,552","8,713"
Total equity Total liabilities and equity,,"204,995","192,668"
,,"2,984,164","2,715,152"
