,2020,2019,2018
,$m,$m,$m
Reported profit before tax,"8,777",13.347,"19,890"
Currency translation,1,(122),(519)
Significant items:,"3,372","8,924","1,828"
-costs of structural reform,1,158,361
-customer redress programmes,(33),"1,444",93
"- disposals,acquisitions and investment in new businesses",10,（768),165
-fair value movements on financial instruments,(264),(84),100
-impairment of goodwill and other intangibles,"1,090","7,349",1
- past service costs of guaranteed minimum pension benefits equalisation,17,1,228
-restructuring and other related costs,"2,078",827,66
- settlements and provisions in connection with legal and regulatory matters,12,(61),816
- goodwill impairment (share of profit in associates and,462,,
joint ventures),,,
- currency translation on significant items Adjusted profit before tax,"一 12,149","59 22,149","(1) 21,199"
