Movement on HSBC share option plans,,,
Movement on HSBC share option plans,,Savings-related share option plans,
,Number,WAEP1,
Footnotes,(000s),f 4.81,
Outstandingat 1 Jan 2020 Granted during the year,"65,060 111,469",2.63,
Exercised during the year,"2 3 (1,387)",4.48,
Expired during the year,,,
,"(43,032)",4.81,
Forfeited during the year,"(1,158)",4.88,
Outstanding at 31 Dec 2020,"130,952",2.97,
- of which exercisable,"8,170",4.50,
Weighted average remaining contractual life (years),,3.68,
Outstanding at 1 Jan 2019 Granted during the year,"57,065 32,130",4.92,
Exercised during the year,2 3,4.69,
Expired during the year,"(11,806)",4.40,
Forfeited during the year,"(11,321)",5.46,
Outstanding at31 Dec 2019,"(1,008)",4.99,
-of which exercisable,"65,060",4.81,
Weighted average remaining contractual life (years),"2,149 2.77",4.53,
