Profit before tax,2020 $m,2020 %,2019 $m,2019 %,2018 $m,2018 %
Taxation at UK corporation tax rate of 19.00% (2019: 19.00%; 2018: 19.00%),"1,668",19.0,"2,536",19.0,"3,779",19.0
Tax expense,,,,,,
Impact of differently taxed overseas profits in overseas locations,178,2.0,253,1.9,264,1.3
Items increasing tax charge in 2020:,,,,,,
non-UK movements in unrecognised deferred tax,608,6.9,12,0.1,32,0.2
UK tax losses not recognised,444,5.1,364,2.7,435,2.2
other permanent disallowables,322,3.6,481,3.6,396,2.0
local taxes and overseas withholding taxes,228,2.6,484,3.6,437,2.2
bank levy,202,2.3,184,1.4,191,1.0
adjustments in respect of prior period liabilities,78,0.9,277,2.1,34,0.2
impacts of hyperinflation,65,0.7,29,0.2,78,0.4
impact of changes in tax rates,58,0.6,(11),(0.1),17,0.1
non-deductible regulatory settlements,33,0.4,5,,153,0.8
non-deductible goodwill write-down,,,"1,421",10.7,,
Items reducing tax charge in 2020:,,,,,,
non-taxable income and gains,(515),(5.8),(844),(6.3),(691),(3.5)
deductions for AT1 coupon payments,(310),(3.5),(263),(2.0),,
effect of profits in associates and joint ventures,(250),(2.8),(467),(3.5),(492),(2.5)
UK banking surcharge,(113),(1.3),29,0.2,229,1.1
non-deductible UK customer compensation,(18),(0.2),382,2.9,16,0.1
non-taxable gain on dilution of shareholding in SABB,,,(181),(1.3),,
other items,,,(52),(0.4),(13),(0.1)
Year ended 31 Dec,"2,678",30.5,"4,639",34.8,"4,865",24.5
