Footnotes,Loan impairment provisions,Unused tax losses and,tax credits,"Derivatives, FVOD¹",and other Insurance investments business,provisions,Expense,Fixed assets,Retirement obligations,Other,Total
Assets,983,"1,414",979,-,650,"1,002",-,"(1,613)",422,"5,450",
Liabilities,-,-,(558),"(1,621)",-,-,-,"(1,613)",(401),"(4,193)",
At 1 Jan 2020,983,"1,414",421,"(1,621)",650,"1,002",-,"(1,613)",21,"1,257",
Income statement,295,355,(274),(32),(81),(112),-,-,61,22,
Other comprehensive income,-,-,(23),-,-,-,-,-,-,-,
Equity,-,-,-,-,-,-,-,-,-,-,
Foreign exchange and other adjustments,(36),52,(281),31,(4),11,(116),304,(39),170,
At 31 Dec 2020,"1,242","1,821",(157),"(1,622)",565,901,"(2,306), (274)",960,"6,037",,
Assets,2,"1,242","1,821",548,-,565,901,-,"(2,306)","(1,234), (5,867)",
Liabilities,2,-,-,(705),"(1,622)",-,-,"(1,387)",(283),"(3,317)",
Assets,982,"1,156",492,-,629,"1,151",-,-,738,"5,148",
Liabilities,-,-,(376),"(1,271)",-,-,-,"(1,387)",(283),"(3,317)",
At 1 Jan 2019,982,"1,156",116,"(1,271)",629,"1,151",-,"(1,387)",455,"1,831",
Income statement,45,266,(386),(303),(18),(185),(149),(141),(871),183,
Other comprehensive income,-,-,544,-,-,-,-,-,-,-,
Equity,-,-,-,-,-,-,-,-,-,-,
Foreign exchange and other adjustments,(44),(8),147,(47),39,36,(107),98,114,,
At 31 Dec 2019,983,"1,414",-,"(1,621)",650,"1,002",-,"(1,613)",21,"1,257",
Assets,2,983,"1,414",979,1,650,"1,002",1,422,"5,450",
Liabilities,2,1,1,(558),"(1,621)",1,1,"(1,613)",(401),"(4,193)",
