Totalassetvaluesoftheentities ($m),Totalassetvaluesoftheentities ($m),,,,"1,067"
0-500,0-500,91 236,670,70,
"500-2,000","500-2,000",12 70,642,7,731
"2,000-5,000","2,000-5,000",二 28,345,二,373
"5,000-25,000 二","5,000-25,000 二",14,260,二,274
"25,000+","25,000+",3,39,2,44
Number of entitiesat 31 Dec 2019 103,Number of entitiesat 31 Dec 2019 103,351,"1,956",79,"2,489"
$bn Total assets in relation to HSBC's interests in the unconsolidated,$bn Total assets in relation to HSBC's interests in the unconsolidated,$bn,$bn,$bn,$bn
structured entities trading assets,5.3 1,9.1 0.2,15.1 3.5,4.2 1.3,33.7 5
-financial assets designated and otherwise mandatorily measured at fair,,,,,
value,1 5.3,8.4,10.7,1,19.1
- loans and advances to customers,,1,0.4,2.3,81
-financial investments,1 、,0.5,0.5,1,
-otherassets Total liabilities in relation to HSBC's interests in the unconsolidated,,1,二,0.6,0.6
structured entities,二,二,1,0.3,0.3
-other liabilities,二,二,二,0.3,0.3
Other off-balance sheet commitments,0.3,0.3 9.4,3.9,0.7,5.2
HSBC's maximum exposure at 31 Dec 2019,5.6,5.6,19.0,4.6,38.6
