Due not more than 1 month,Due over 1 month but not more than 3 months,Due over 3 months but not more than 6 months,Due over 6 months but not more than 9 months,Due over 9 months but not more than 1 year,Due over 1 year but not more than 2 years,Due over 2 years but not more than 5 years,Due over 5 years,Total
Cash and balances at central banks,"304,481",,,,,,,"304,481"
Items in the course of collection from other banks,"4,094",,,,,,,"4,094"
Hong Kong Government certificates of indebtedness,"40,420",,,,,,,
Trading assets,"228,434","1,778","458,135","67,644",474,,,"231,990"
Financial assets designated or otherwise mandatorily measured at fair value,"3,061","240,466","262,454","1,424","1,992","37,654",,"45,553"
Derivatives,"306,561",15,12,14,14,441,424,"245,307,726"
Loans and advances to banks,"51,652","11,283","5,640","3,068","2,284","4,059","3,359","271,81,616"
Loans and advances to customers,"172,306","70,746","65,838","44,392","38,606","112,440","206,448","327,211,1,037,987"
personal,"51,711","9,645","7,918","7,270","7,033","26,318","70,447","275,736,456,078"
corporate and commercial,"101,684","55,009","51,755","31,529","28,553","76,225","125,393","47,446,517,594"
financial,"18,911","6,092","6,165","5,593","3,020","9,897","10,608","4,029,64,315"
Reverse repurchase agreements – non-trading,"157,234","44,658","16,655","5,113","1,324","3,058","2,586","230,628"
Financial investments,"47,270","77,450","44,255","14,523","24,112","48,741","100,007","134,335,490,693"
Accrued income and other financial assets,"93,118","5,951","2,743",,,,,"2,107,105,563"
Financial assets at 31 Dec 2020,"1,408,631","212,121","136,067","67,982","67,319","171,074","315,734","501,823,2,880,751"
Non-financial assets,,,,,,,,"-,-,103,413,103,413"
Total assets at 31 Dec 2020,"1,408,631","212,121","136,067","67,982","67,319","171,074","315,734","605,236,2,984,164"
Loan and other credit-related commitments,,,,,,,,"60,849"
Hong Kong currency notes in circulation,,,,,,,,"40,420"
Deposits by banks,"60,973","1,396","714,695","197,718",,,,"630,82,080"
Customer accounts^1,"1,533,595","61,376","22,568","9,375","8,418","4,467","2,859","122,1,642,780"
personal,"766,631","32,429","15,511","6,276","5,825","3,591","1,976","39,832,278"
corporate and commercial,"588,887","22,856","5,963","2,966","2,058",,,"37,624,171"
financial,"178,077","6,091","1,094",,,,,"46,186,331"
Repurchase agreements – non-trading,"102,633","3,979","2,165",,,,,"111,901"
Items in the course of transmission to other banks,,,,,,,,"4,343"
Trading liabilities,"70,799","3,377","400,143","185,289",72,,,
Financial liabilities designated at fair value,"18,434","7,333","6,973","6,775","6,593","14,182","40,510","56,639,157,439"
debt securities in issue: covered bonds,,,,,,,,"-,-,3,052"
debt securities in issue: unsecured,"10,762","4,470","5,522","5,604","5,530","10,455","31,710","42,825,116,878"
subordinated liabilities and preferred securities,,,,,,,,"-,-,10,844"
other^2,"7,672","2,863","1,451","1,171","1,063","2,488","1,970","25,560"
Derivatives,"300,902",264,198,38,55,237,726,"581,303,001"
Debt securities in issue,"6,552","12,329","14,964","9,764","3,878","9,215","16,618","22,172,95,492"
covered bonds,,,,,,,,"-,-,3,052"
otherwise secured,"1,094","1,585","1,001","1,000",,,274,"1,640,1,590,8,184"
unsecured,"5,458","10,744","13,935","8,764",,,,"84,256"
Accruals and other financial liabilities,"96,821","9,794","3,886",,,,,"120,341"
Subordinated liabilities,619,,237,,,,,"18,413"
Total financial liabilities at 31 Dec 2020,"2,236,091","99,848","52,105","27,868","21,187","30,878","84,414","226,778,2,779,169"
Non-financial liabilities,,,,,,,,"-,-,124,155,124,155"
Total liabilities at 31 Dec 2020,"2,236,091","99,848","52,105","27,868","21,187","30,878","84,414","226,778,2,779,169"
Loan and other credit-related commitments,,,,,,,,770
