,Consists of1,Consists of1,Consists of1,Consists of1,Consists of1
,Total WPB Footnotes $m,Banking operations $m,Insurance manufacturing $m,Global Private Banking $m,Asset management $m
2018,,,,,
Net operating income before change in expected credit losses and other 2,,,,,
credit impairment charges,"23,551","18,860","1,868","1,783","1,040"
- net interest income,"16,418","13,477","2,060",884,(3)
- net fee income/(expense),"5,774","4,594",(593),743,"1,030"
-other income,"1,359",789,401,156,13
ECL,"(1,072)","(1,079)",(1),8,二
Net operating income,"22,479","17,781","1,867","1,791","1,040"
Total operating expenses,"(14,614)","(12,023)",(437),"(1,449)",(705)
Operating profit,"7,865","5,758","1,430",342,335
Share of profit in associates and joint ventures,32,1,31,二,二
Profit before tax,"7,897","5,759","1,461",342,335
