```csv
"Defined Benefit Pension Plans","U.S. Plans","2020","2019","2018","Non-U.S. Plans","2020","2019","2018"
"Service cost","$","-","-","-","$","392","370","413"
"Interest cost","(1)","1,501","1,882","1,719","(1)","563","847","830"
"Expected return on plan assets","(1)","(2,169)","(2,599)","(2,701)","(1)","(1,275)","(1,588)","(1,342)"
"Amortization of transition assets","(1)","-","-","-","-","-","0","0"
"Amortization of prior service costs/(credits)","(1)","16","16","16","(1)","-8","-23","-83"
"Recognized actuarial losses","(1)","829","559","1,525","(1)","1,406","1,249","1,401"
"Curtailments and settlements","(1)","-","-","-","(1)","52","41","11"
"Multi-employer plans","-","-","-","-","-","29","32","38"
"Other costs/(credits)","-","-","-","-","-","18","28","16"
"Total net periodic (income)/cost","$","178","(142)","559","$","1,178","955","1,284"
```
