Interest cost,Plan participants' contributions,"Acquisitions/divestitures, net",Actuarial losses/(gains),Benefits paid from trust,Direct benefit payments,Foreign exchange impact,Amendments/curtailments/settlements/other,Benefit obligation at December 31
($ in millions),Defined Benefit Pension Plans,Nonpension Postretirement Benefit Plans,,,,,,
U.S. Plans,Non-U.S. Plans,"U.S. Plan,Non-U.S. Plans",,,,,,
2020,2019,"2020,2019,2020,2019,2020,2019",,,,,,
Change in benefit obligation,,,,,,,,
Benefit obligation at January 1,"$50,232","$47,812,$48,324,$45,770,$ 3,857,$ 3,912,$ 848,$ 705",,,,,,
Service cost,—,"—,392,370,9,10,5,5",,,,,,
Interest cost,"1,501","1,882,563,847,103,145,36,55",,,,,,
Plan participants' contributions,—,"—,23,23,56,57,—,—",,,,,,
"1,501",—,1,"4,071","(3,445)",(123),—,0,"$52,237"
"1,882",—,—,"4,040","(3,378)",(124),—,—,"$50,322"
563,23,50,"2,766","(1,946)",(420),"3,283",0,"$52,889"
847,23,(32),"3,467","(1,902)",(403),134,50,"$48,324"
103,56,—,135,(369),0,—,—,"$3,791"
145,57,—,148,(389),(6),—,(21),"$3,857"
36,—,0,(3),(4),(24),(82),(1),$775
55,—,0,141,(6),(27),(1),(23),$848
Amendments/curtailments/settlements/other,0,-,(47),50,-,(21),(1),(23)
Benefit obligation at December 31,"$52,237","$50,232","$52,989","$48,324","$3,791","$3,857",$775,$848
Change in plan assets,,,,,,,,
Fair value of plan assets at January 1,"$51,784","$48,213","$40,319","$36,758",$,$,$,$
Actual return on plan assets,"6,046","6,949","2,571","4,896",0,1,4,7
Employer contributions,-,-,182,243,325,304,-,-
"Acquisitions/divestitures, net",1,-,97,(25),-,-,-,-
Plan participants' contributions,-,-,23,23,56,57,-,-
Benefits paid from trust,"(3,445)","(3,378)","(1,946)","(1,902)",(369),(389),(4),(6)
Acquisitions/divestitures,net\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,,,,,,
Accumulated benefit obligation*	$52,237	$50,232	$52,513	$47,645	N/A	N/A	N/A,,,,
