,Defined Benefit Pension Plans,Defined Benefit Pension Plans,Defined Benefit Pension Plans,Defined Benefit Pension Plans,Defined Benefit Pension Plans,Defined Benefit Pension Plans
,U.S.Plans,U.S.Plans,U.S.Plans,Non-U.S.Plans,Non-U.S.Plans,Non-U.S.Plans
,2020,2019,2018,2020,2019,2018
Weighted-average assumptions used to measure net periodic (income)/cost for the year ended December 31,,,,,,
Discount rate,3.10%,4.10%,3.40%,1.19 %,1.85%,1.76%
Expected long-term returns on plan assets,4.50%,5.25%,5.25%,3.37 %,4.38%,3.62%
Rate of compensation increase,N/A,N/A,N/A,2.60%,2.18%,2.41%
Interest crediting rate Weighted-average assumptions used to measure benefit,2.70 %,3.60%,2.30%,0.28%,0.30%,0.30%
obligations at December 31,,,,,,
Discount rate,2.20 %,3.10%,4.10%,0.86%,1.19 %,1.85%
Rate of compensation increase,N/A,N/A,N/A,2.50%,2.60%,2.18%
Interest crediting rate,1.10 %,2.70%,3.60%,0.26%,0.28%,0.30%
