For the fourth quarter:,2020,2019,Yr.-to-Yr. Percent/ Margin
Revenue,"$20,367","$21,777",Change (6.5)%*
Gross profit margin,51.7%,51.0%,0.7pts.
Total expense and other (income),"$9,234 **","$7,107",29.9%
Income from continuing operations before income taxes,"$1,289 **","$3,993",(67.7)%
Provision for income taxes from continuing operations,$ 25,$324,(92.3)%
Income from continuing operations,"$1,264 **","$3,669",(65.5)%
Income from continuing operations margin,6.2%,16.8%,(10.6)pts.
"Income from discontinued operations,net of tax +",$ 92,$ 0,NM
Net income,"$1,356 **","$3,670",(63.0)%
Earnings per share from continuing operations-assuming dilution,$ 1.41**,$4.11,(65.7)%
Weighted-average shares outstanding-assuming dilution,899.0,893.7,0.6%
