,Location of Gain or Loss Recognized in Incomeon,Gain (Loss) Recognized in,Gain (Loss) Recognized in,Gain (Loss) Recognized in,Gain (Loss) Recognized in,Gain (Loss) Reclassified into Income from,Gain (Loss) Reclassified into Income from,Gain (Loss) Reclassified into Income from,Gain (Loss) Reclassified into Income from,Gain (Loss) Recognized in Income on Derivative,Gain (Loss) Recognized in Income on Derivative
In millions,Derivative,2020,AOCI,2019,,2020,AOCI,2019,2020,,2019
Foreign currency,Nonoperating income/expense,$,(76.6),$,22.5,$,(2.1) $,50.3,,,
Interest rate Cash flowhedges,Interest expense,$ (167.4),(90.8) $,,22.5 $,,(5.4) (7.5) $,(1.3) 49.0,,,
Foreign currency denominated debt Nonoperating income/expense,,$ (989.7),,$,317.3,$,33.7,,,,
Foreign currency derivatives,Nonoperating income/expense,,(12.3),,11.8,,,,,,
Foreigncurrency derivatives(1) Netinvestment hedges,Interest expense,,"$(1,002.0)",,329.1,$,33.7,,$ $,14.7 $,11.7
Foreign currency,Nonoperating income/expense,,,,,,,,14.7 $ (29.0),$,11.7
Equity,"Selling, general &",,,,,,,,,$,14.2
Equity,administrative expenses Other operating income/,,,,,,,,,44.4,71.8
Undesignated derivatives,"expense,net",,,,,,,,$,(16.0) (0.6) $,86.0
