Statutory U.S. federal income tax rate,2020,2019,2018
"State income taxes, net of related federal income tax benefit",1.8,1.8,1.8
Foreign income taxed at different rates,0.4,1.6,1.5
Tax impact of intercompany transactions,2.1,,
"Global intangible low-tax income (""GILTI"")",1.2,1.3,0.4
Foreign-derived intangible income (“FDII”),-3.4,-1.3,-1.4
Transition tax,,,1.0
U.S./Foreign tax law changes,-1.8,,
Foreign tax credit redetermination regulations,,-1.0,
"Other, net",1.7,1.5,-0.1
Effective income tax rates,23.0 %,24.9 %,24.2 %
