$in millions,"At December 31,2020","At December 31,2020","At December 31,2020","At December 31,2020"
$in millions,Level 2,,Level31,Total
Assets,,,,
Loans,$,"2,566","$ 3,134","$ 5,700"
Other assets- -Other investments,,1,16,16
Other assets- -ROUassets,,21,1,21
Total,$,"2,587$","3,150$","5,737"
Liabilities Other liabilities and accrued,,,,
expenses-Lending commitments,$,193$,72$,265
Total,$,193$,72$,265
$ in millions,,,"At December 31,2019",
$ in millions,Level 2,,Level31,Total
Assets,,,,
Loans,$,"1,543$","1,500","$ 3,043"
Other assets—Other investments,,一,113,113
Total,$,"1,543$","1,613$","3,156"
Liabilities Other liabilities and accrued,,,,
expenses-Lending commitments,$,132$,,69$ 201
Total,$,132$,,69$ 201
