At December 31, 2019,Amortized Cost,Gross Unrealized Gains,Gross Unrealized Losses,Fair Value
$ in millions,Amortized Cost,Gross Unrealized Gains,Gross Unrealized Losses,Fair Value,
AFS securities,U.S. government and agency securities:,U.S. Treasury securities,224,111,"32,578"
,U.S. agency securities2,249,100,"20,874",
,Total U.S. government and agency securities,473,211,"53,452",
,Corporate and other debt:,Agency CMBS,55,57,"4,808"
,Corporate bonds,17,1,"1,907",
,State and municipal securities,22,—,503,
,FFELP student loan ABS3,1,28,"1,553",
,Total corporate and other debt,95,86,"8,771",
,Total AFS securities,568,297,"62,223",
HTM securities,U.S. government and agency securities:,U.S. Treasury securities,568,52,"30,661"
,U.S. agency securities2,151,57,"12,683",
,Total U.S. government and agency securities,719,109,"43,344",
,Corporate and other debt:,Non-agency CMBS,22,1,789
,Total HTM securities,741,110,"44,133",
,Total investment securities,"1,309",407,"106,356",
